2025/4/15 8:00 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
416,11:00〜12:00,4月14日,10:46,28,78
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
325,11:00〜12:00,4月14日,10:46
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
289,0:00〜1:00,4月13日,23:46,23,81
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
235,0:00〜1:00,4月13日,23:46
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2025/4/14,0:00,235,235,81,289
2025/4/14,1:00,240,240,79,300
2025/4/14,2:00,259,259,80,322
2025/4/14,3:00,279,278,80,347
2025/4/14,4:00,291,289,81,359
2025/4/14,5:00,300,297,81,368
2025/4/14,6:00,297,294,80,367
2025/4/14,7:00,289,292,78,366
2025/4/14,8:00,312,311,79,390
2025/4/14,9:00,325,325,78,414
2025/4/14,10:00,330,322,79,412
2025/4/14,11:00,329,325,79,416
2025/4/14,12:00,305,306,78,390
2025/4/14,13:00,316,313,79,399
2025/4/14,14:00,311,311,78,396
2025/4/14,15:00,306,306,77,393
2025/4/14,16:00,309,308,77,399
2025/4/14,17:00,308,312,77,400
2025/4/14,18:00,313,320,75,412
2025/4/14,19:00,308,313,73,419
2025/4/14,20:00,297,303,71,415
2025/4/14,21:00,287,292,70,410
2025/4/14,22:00,278,286,68,403
2025/4/14,23:00,267,273,68,390
最大使用率(%),時間帯
81,5:00〜6:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
400,9:00〜10:00,4月15日,7:46,16,86
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
345,9:00〜10:00,4月15日,7:16
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
392,13:00〜14:00,4月15日,7:46,16,86
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
338,13:00〜14:00,4月15日,7:46
DATE,TIME,当日実績（５分間隔値）(万kW),太陽光発電実績（５分間隔値）(万kW)
2025/4/14,0:00,237,0
2025/4/14,0:05,237,0
2025/4/14,0:10,238,0
2025/4/14,0:15,238,0
2025/4/14,0:20,238,0
2025/4/14,0:25,236,0
2025/4/14,0:30,234,0
2025/4/14,0:35,236,0
2025/4/14,0:40,234,0
2025/4/14,0:45,232,0
2025/4/14,0:50,232,0
2025/4/14,0:55,233,0
2025/4/14,1:00,235,0
2025/4/14,1:05,236,0
2025/4/14,1:10,236,0
2025/4/14,1:15,235,0
2025/4/14,1:20,237,0
2025/4/14,1:25,237,0
2025/4/14,1:30,238,0
2025/4/14,1:35,238,0
2025/4/14,1:40,239,0
2025/4/14,1:45,241,0
2025/4/14,1:50,245,0
2025/4/14,1:55,244,0
2025/4/14,2:00,246,0
2025/4/14,2:05,247,0
2025/4/14,2:10,250,0
2025/4/14,2:15,251,0
2025/4/14,2:20,253,0
2025/4/14,2:25,255,0
2025/4/14,2:30,257,0
2025/4/14,2:35,261,0
2025/4/14,2:40,264,0
2025/4/14,2:45,266,0
2025/4/14,2:50,266,0
2025/4/14,2:55,268,0
2025/4/14,3:00,271,0
2025/4/14,3:05,273,0
2025/4/14,3:10,274,0
2025/4/14,3:15,276,0
2025/4/14,3:20,277,0
2025/4/14,3:25,278,0
2025/4/14,3:30,278,0
2025/4/14,3:35,281,0
2025/4/14,3:40,282,0
2025/4/14,3:45,282,0
2025/4/14,3:50,282,0
