DATA,TIME,実績(万kW)
2019/1/1,00:00,678.3
2019/1/1,01:00,675.3
2019/1/1,02:00,680.7
2019/1/1,03:00,683
2019/1/1,04:00,664.7
2019/1/1,05:00,627
2019/1/1,06:00,618.9
2019/1/1,07:00,639.2
2019/1/1,08:00,675.4
2019/1/1,09:00,651.8
2019/1/1,10:00,604.5
2019/1/1,11:00,584.2
2019/1/1,12:00,568.3
2019/1/1,13:00,553.5
2019/1/1,14:00,558.3
2019/1/1,15:00,560.6
2019/1/1,16:00,596.5
2019/1/1,17:00,644.6
2019/1/1,18:00,659.2
2019/1/1,19:00,649.9
2019/1/1,20:00,644.2
2019/1/1,21:00,630.8
2019/1/1,22:00,595.6
2019/1/1,23:00,578.1
2019/1/2,00:00,571.6
2019/1/2,01:00,574.3
2019/1/2,02:00,607.2
2019/1/2,03:00,620.5
2019/1/2,04:00,610.5
2019/1/2,05:00,585.4
2019/1/2,06:00,577.3
2019/1/2,07:00,616.8
2019/1/2,08:00,649.2
2019/1/2,09:00,650.3
2019/1/2,10:00,611
2019/1/2,11:00,586
2019/1/2,12:00,571.1
2019/1/2,13:00,554.4
2019/1/2,14:00,552.9
2019/1/2,15:00,564.2
2019/1/2,16:00,581.5
2019/1/2,17:00,654.2
2019/1/2,18:00,680.3
2019/1/2,19:00,683.7
2019/1/2,20:00,675.4
2019/1/2,21:00,661.5
2019/1/2,22:00,630.1
2019/1/2,23:00,621.3
2019/1/3,00:00,619.9
2019/1/3,01:00,617.5
2019/1/3,02:00,641.6
2019/1/3,03:00,652
2019/1/3,04:00,637
2019/1/3,05:00,611.8
2019/1/3,06:00,606
2019/1/3,07:00,640.9
2019/1/3,08:00,684.3
2019/1/3,09:00,673.1
2019/1/3,10:00,624.4
2019/1/3,11:00,592.2
2019/1/3,12:00,580.9
2019/1/3,13:00,559
2019/1/3,14:00,552.2
2019/1/3,15:00,562
2019/1/3,16:00,583.8
2019/1/3,17:00,661.9
2019/1/3,18:00,693.9
2019/1/3,19:00,697
2019/1/3,20:00,692.8
2019/1/3,21:00,673.3
2019/1/3,22:00,632.8
2019/1/3,23:00,627.3
2019/1/4,00:00,629
2019/1/4,01:00,630.1
2019/1/4,02:00,668.5
2019/1/4,03:00,679.4
2019/1/4,04:00,668.6
2019/1/4,05:00,655.4
2019/1/4,06:00,676.9
2019/1/4,07:00,746.1
2019/1/4,08:00,796.2
2019/1/4,09:00,768.5
2019/1/4,10:00,716.4
2019/1/4,11:00,674.2
2019/1/4,12:00,653.2
2019/1/4,13:00,669.7
2019/1/4,14:00,677.4
2019/1/4,15:00,681.1
2019/1/4,16:00,687.4
2019/1/4,17:00,749.5
2019/1/4,18:00,761.1
2019/1/4,19:00,741.5
2019/1/4,20:00,732.8
2019/1/4,21:00,687.3
2019/1/4,22:00,644.2
2019/1/4,23:00,616.4
2019/1/5,00:00,604.4
2019/1/5,01:00,617.2
2019/1/5,02:00,641.6
2019/1/5,03:00,661.8
2019/1/5,04:00,651
2019/1/5,05:00,630.7
2019/1/5,06:00,632
2019/1/5,07:00,675
2019/1/5,08:00,739.4
2019/1/5,09:00,772.8
2019/1/5,10:00,763
2019/1/5,11:00,735.3
2019/1/5,12:00,694.7
2019/1/5,13:00,684.5
2019/1/5,14:00,673.9
2019/1/5,15:00,676
2019/1/5,16:00,686
2019/1/5,17:00,748.1
2019/1/5,18:00,770.2
2019/1/5,19:00,761.1
2019/1/5,20:00,738.6
2019/1/5,21:00,705.3
2019/1/5,22:00,666
2019/1/5,23:00,646.5
2019/1/6,00:00,640.2
2019/1/6,01:00,646.6
2019/1/6,02:00,672.2
2019/1/6,03:00,688.1
2019/1/6,04:00,673.7
2019/1/6,05:00,647.3
2019/1/6,06:00,630
2019/1/6,07:00,656.6
2019/1/6,08:00,720.6
2019/1/6,09:00,761.5
2019/1/6,10:00,744.2
2019/1/6,11:00,692.6
2019/1/6,12:00,681.1
2019/1/6,13:00,652.6
2019/1/6,14:00,651.1
2019/1/6,15:00,657.2
2019/1/6,16:00,687.2
2019/1/6,17:00,764.2
2019/1/6,18:00,786
2019/1/6,19:00,769.3
2019/1/6,20:00,760
2019/1/6,21:00,727
2019/1/6,22:00,671
2019/1/6,23:00,645.8
2019/1/7,00:00,638.4
2019/1/7,01:00,646.8
2019/1/7,02:00,685.2
2019/1/7,03:00,710
2019/1/7,04:00,721.3
2019/1/7,05:00,730
2019/1/7,06:00,783
2019/1/7,07:00,844.7
2019/1/7,08:00,918.7
2019/1/7,09:00,932.8
2019/1/7,10:00,876.9
2019/1/7,11:00,849.7
2019/1/7,12:00,800.1
2019/1/7,13:00,813
2019/1/7,14:00,813.4
2019/1/7,15:00,818.2
2019/1/7,16:00,828.7
2019/1/7,17:00,866.1
2019/1/7,18:00,889
2019/1/7,19:00,871.4
2019/1/7,20:00,842.5
2019/1/7,21:00,804.7
2019/1/7,22:00,760.9
2019/1/7,23:00,729.6
2019/1/8,00:00,713.6
2019/1/8,01:00,726.4
2019/1/8,02:00,765.4
