2020/02/17 09:37 UPDATE
電力需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,電力需要ピーク時予備率(%),電力需要ピーク時使用率(%)
2762,14:00〜15:00,08月09日,07:34,11,90
電力需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
2497,14:00〜15:00,08月09日,07:34
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2762,14:00〜15:00,08月09日,07:34,11,90
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2497,14:00〜15:00,08月09日,07:34
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2019/08/09,00:00,1548,1538,84,1848
2019/08/09,01:00,1449,1438,80,1810
2019/08/09,02:00,1400,1396,77,1809
2019/08/09,03:00,1377,1390,76,1808
2019/08/09,04:00,1378,1377,76,1820
2019/08/09,05:00,1382,1382,77,1797
2019/08/09,06:00,1478,1469,78,1895
2019/08/09,07:00,1689,1694,84,2009
2019/08/09,08:00,2029,2066,87,2334
2019/08/09,09:00,2257,2311,88,2562
2019/08/09,10:00,2344,2388,89,2647
2019/08/09,11:00,2407,2449,89,2714
2019/08/09,12:00,2333,2362,89,2617
2019/08/09,13:00,2451,2483,89,2752
2019/08/09,14:00,2450,2497,89,2762
2019/08/09,15:00,2404,2437,89,2700
2019/08/09,16:00,2341,2371,89,2626
2019/08/09,17:00,2153,2209,88,2448
2019/08/09,18:00,2070,2114,88,2342
2019/08/09,19:00,1998,2041,88,2261
2019/08/09,20:00,1881,1922,88,2132
2019/08/09,21:00,1777,1832,87,2031
2019/08/09,22:00,1699,1741,87,1949
2019/08/09,23:00,1595,1643,82,1944
最大使用率(%),時間帯
89,16:00〜17:00
翌日電力需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,電力需要ピーク時予備率(%),電力需要ピーク時使用率(%)
2262,13:00〜14:00,08月09日,17:25,17,86
翌日電力需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1936,13:00〜14:00,08月09日,17:25
翌日使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2262,13:00〜14:00,08月09日,17:25,17,86
翌日使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1936,13:00〜14:00,08月09日,17:25
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2019/08/09,00:00,1618,0
2019/08/09,00:05,1613,0
2019/08/09,00:10,1603,0
2019/08/09,00:15,1578,0
2019/08/09,00:20,1562,0
2019/08/09,00:25,1543,0
2019/08/09,00:30,1534,0
2019/08/09,00:35,1536,0
2019/08/09,00:40,1518,0
2019/08/09,00:45,1508,0
2019/08/09,00:50,1517,0
2019/08/09,00:55,1502,0
2019/08/09,01:00,1503,0
2019/08/09,01:05,1497,0
2019/08/09,01:10,1489,0
2019/08/09,01:15,1476,0
2019/08/09,01:20,1459,0
2019/08/09,01:25,1446,0
2019/08/09,01:30,1441,0
2019/08/09,01:35,1427,0
2019/08/09,01:40,1427,0
2019/08/09,01:45,1422,0
2019/08/09,01:50,1428,0
2019/08/09,01:55,1426,0
2019/08/09,02:00,1422,0
2019/08/09,02:05,1422,0
2019/08/09,02:10,1424,0
2019/08/09,02:15,1425,0
2019/08/09,02:20,1411,0
2019/08/09,02:25,1408,0
2019/08/09,02:30,1401,0
2019/08/09,02:35,1392,0
2019/08/09,02:40,1396,0
2019/08/09,02:45,1400,0
2019/08/09,02:50,1385,0
2019/08/09,02:55,1388,0
2019/08/09,03:00,1391,0
2019/08/09,03:05,1382,0
