2025/02/07 00:00 UPDATE
需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,需要ピーク時予備率(%),需要ピーク時使用率(%)
2678,09:00〜10:00,02月05日,23:15,17,85
需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
2285,09:00〜10:00,02月05日,23:15
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1894,00:00〜01:00,02月05日,23:15,14,87
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1658,00:00〜01:00,02月05日,23:15
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2025/02/05,00:00,1656,1658,87,1894
2025/02/05,01:00,1626,1613,88,1843
2025/02/05,02:00,1614,1611,87,1842
2025/02/05,03:00,1606,1605,87,1836
2025/02/05,04:00,1603,1604,87,1836
2025/02/05,05:00,1662,1658,87,1900
2025/02/05,06:00,1840,1852,86,2124
2025/02/05,07:00,2014,2018,86,2330
2025/02/05,08:00,2213,2219,85,2585
2025/02/05,09:00,2271,2285,84,2678
2025/02/05,10:00,2193,2219,83,2614
2025/02/05,11:00,2127,2149,83,2542
2025/02/05,12:00,1997,2000,81,2443
2025/02/05,13:00,2049,2059,84,2432
2025/02/05,14:00,2064,2057,84,2430
2025/02/05,15:00,2055,2076,83,2451
2025/02/05,16:00,2135,2108,85,2496
2025/02/05,17:00,2168,2158,86,2502
2025/02/05,18:00,2189,2161,88,2487
2025/02/05,19:00,2138,2110,88,2423
2025/02/05,20:00,2120,2066,87,2428
2025/02/05,21:00,2037,1997,84,2404
2025/02/05,22:00,1922,1891,83,2300
2025/02/05,23:00,1851,1817,82,2250
最大使用率(%),時間帯
88,19:00〜20:00
翌日需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,需要ピーク時予備率(%),需要ピーク時使用率(%)
2652,09:00〜10:00,02月05日,17:01,15,87
翌日需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
2311,09:00〜10:00,02月05日,17:01
翌日使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
2166,06:00〜07:00,02月05日,17:01,15,87
翌日使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1887,06:00〜07:00,02月05日,17:01
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2025/02/05,00:00,1737,0
2025/02/05,00:05,1721,0
2025/02/05,00:10,1704,0
2025/02/05,00:15,1694,0
2025/02/05,00:20,1675,0
2025/02/05,00:25,1667,0
2025/02/05,00:30,1649,0
2025/02/05,00:35,1665,0
2025/02/05,00:40,1650,0
2025/02/05,00:45,1645,0
2025/02/05,00:50,1655,0
2025/02/05,00:55,1644,0
2025/02/05,01:00,1647,0
2025/02/05,01:05,1647,0
2025/02/05,01:10,1649,0
2025/02/05,01:15,1646,0
2025/02/05,01:20,1648,0
2025/02/05,01:25,1633,0
2025/02/05,01:30,1639,0
2025/02/05,01:35,1641,0
2025/02/05,01:40,1635,0
2025/02/05,01:45,1639,0
2025/02/05,01:50,1631,0
2025/02/05,01:55,1637,0
2025/02/05,02:00,1626,0
2025/02/05,02:05,1625,0
2025/02/05,02:10,1627,0
2025/02/05,02:15,1615,0
2025/02/05,02:20,1619,0
2025/02/05,02:25,1631,0
2025/02/05,02:30,1630,0
2025/02/05,02:35,1631,0
2025/02/05,02:40,1627,0
2025/02/05,02:45,1641,0
2025/02/05,02:50,1633,0
2025/02/05,02:55,1635,0
2025/02/05,03:00,1626,0
2025/02/05,03:05,1628,0
2025/02/05,03:10,1625,0
2025/02/05,03:15,1615,0
2025/02/05,03:20,1614,0
2025/02/05,03:25,1610,0
2025/02/05,03:30,1624,0
2025/02/05,03:35,1624,0
2025/02/05,03:40,1620,0
2025/02/05,03:45,1638,0
2025/02/05,03:50,1617,0
2025/02/05,03:55,1606,0
2025/02/05,04:00,1616,0
2025/02/05,04:05,1622,0
2025/02/05,04:10,1619,0
2025/02/05,04:15,1615,0
2025/02/05,04:20,1604,0
2025/02/05,04:25,1595,0
2025/02/05,04:30,1591,0
2025/02/05,04:35,1612,0
2025/02/05,04:40,1617,0
2025/02/05,04:45,1636,0
2025/02/05,04:50,1629,0
2025/02/05,04:55,1628,0
2025/02/05,05:00,1626,0
2025/02/05,05:05,1636,0
2025/02/05,05:10,1649,0
2025/02/05,05:15,1647,0
2025/02/05,05:20,1663,0
2025/02/05,05:25,1658,0
2025/02/05,05:30,1675,0
2025/02/05,05:35,1683,0
2025/02/05,05:40,1689,0
2025/02/05,05:45,1691,0
2025/02/05,05:50,1702,0
2025/02/05,05:55,1719,0
2025/02/05,06:00,1749,0
2025/02/05,06:05,1783,0
2025/02/05,06:10,1797,0
2025/02/05,06:15,1814,0
2025/02/05,06:20,1809,0
2025/02/05,06:25,1832,0
2025/02/05,06:30,1867,0
2025/02/05,06:35,1870,0
2025/02/05,06:40,1889,0
2025/02/05,06:45,1892,0
2025/02/05,06:50,1929,0
2025/02/05,06:55,1938,0
2025/02/05,07:00,1941,0
2025/02/05,07:05,1954,1
2025/02/05,07:10,1966,4
2025/02/05,07:15,1986,7
2025/02/05,07:20,1996,14
2025/02/05,07:25,2014,23
2025/02/05,07:30,2029,35
2025/02/05,07:35,2048,47
2025/02/05,07:40,2051,65
2025/02/05,07:45,2051,91
2025/02/05,07:50,2081,115
2025/02/05,07:55,2106,132
2025/02/05,08:00,2104,146
2025/02/05,08:05,2145,162
2025/02/05,08:10,2170,178
2025/02/05,08:15,2186,200
2025/02/05,08:20,2193,220
2025/02/05,08:25,2235,244
2025/02/05,08:30,2251,265
2025/02/05,08:35,2263,277
2025/02/05,08:40,2272,286
2025/02/05,08:45,2278,301
2025/02/05,08:50,2292,324
2025/02/05,08:55,2329,352
2025/02/05,09:00,2325,366
2025/02/05,09:05,2316,382
2025/02/05,09:10,2348,398
2025/02/05,09:15,2353,424
2025/02/05,09:20,2353,448
2025/02/05,09:25,2340,474
2025/02/05,09:30,2329,486
2025/02/05,09:35,2312,497
2025/02/05,09:40,2324,504
2025/02/05,09:45,2302,506
2025/02/05,09:50,2294,513
2025/02/05,09:55,2301,523
2025/02/05,10:00,2322,549
2025/02/05,10:05,2298,567
2025/02/05,10:10,2274,554
2025/02/05,10:15,2313,568
2025/02/05,10:20,2316,608
2025/02/05,10:25,2331,623
2025/02/05,10:30,2316,632
2025/02/05,10:35,2260,608
2025/02/05,10:40,2199,561
2025/02/05,10:45,2204,560
2025/02/05,10:50,2203,597
2025/02/05,10:55,2220,596
2025/02/05,11:00,2230,608
2025/02/05,11:05,2215,623
2025/02/05,11:10,2185,597
2025/02/05,11:15,2179,584
2025/02/05,11:20,2187,604
2025/02/05,11:25,2196,637
2025/02/05,11:30,2188,632
2025/02/05,11:35,2162,629
2025/02/05,11:40,2170,645
2025/02/05,11:45,2193,674
2025/02/05,11:50,2230,710
2025/02/05,11:55,2221,716
2025/02/05,12:00,2188,716
2025/02/05,12:05,2102,682
2025/02/05,12:10,2103,665
2025/02/05,12:15,2124,700
2025/02/05,12:20,2129,721
2025/02/05,12:25,2114,692
2025/02/05,12:30,2079,694
2025/02/05,12:35,2044,657
2025/02/05,12:40,2015,608
2025/02/05,12:45,1985,596
2025/02/05,12:50,2007,598
2025/02/05,12:55,2078,641
2025/02/05,13:00,2097,666
2025/02/05,13:05,2116,642
2025/02/05,13:10,2100,573
2025/02/05,13:15,2066,503
2025/02/05,13:20,2106,521
2025/02/05,13:25,2121,553
2025/02/05,13:30,2106,537
2025/02/05,13:35,2110,534
2025/02/05,13:40,2072,473
2025/02/05,13:45,2043,445
2025/02/05,13:50,2094,501
2025/02/05,13:55,2144,542
2025/02/05,14:00,2129,544
2025/02/05,14:05,2144,557
2025/02/05,14:10,2150,557
2025/02/05,14:15,2155,555
2025/02/05,14:20,2158,555
2025/02/05,14:25,2156,542
2025/02/05,14:30,2137,500
2025/02/05,14:35,2128,481
2025/02/05,14:40,2158,485
