DATA,TIME,実績(万kW)
2016/4/1,00:00,1237.2
2016/4/1,01:00,1212.9
2016/4/1,02:00,1227.3
2016/4/1,03:00,1236.2
2016/4/1,04:00,1222.7
2016/4/1,05:00,1229.3
2016/4/1,06:00,1279.9
2016/4/1,07:00,1375.5
2016/4/1,08:00,1551.4
2016/4/1,09:00,1682.1
2016/4/1,10:00,1695.6
2016/4/1,11:00,1693.4
2016/4/1,12:00,1585.4
2016/4/1,13:00,1690.4
2016/4/1,14:00,1694.6
2016/4/1,15:00,1658.1
2016/4/1,16:00,1660.2
2016/4/1,17:00,1622
2016/4/1,18:00,1640.8
2016/4/1,19:00,1582.4
2016/4/1,20:00,1513.3
2016/4/1,21:00,1459.1
2016/4/1,22:00,1399.4
2016/4/1,23:00,1351.6
2016/4/2,00:00,1245.9
2016/4/2,01:00,1210
2016/4/2,02:00,1213.1
2016/4/2,03:00,1212.9
2016/4/2,04:00,1184.2
2016/4/2,05:00,1151.6
2016/4/2,06:00,1125
2016/4/2,07:00,1152.7
2016/4/2,08:00,1242.6
2016/4/2,09:00,1302.1
2016/4/2,10:00,1301.3
2016/4/2,11:00,1280.7
2016/4/2,12:00,1227.9
2016/4/2,13:00,1235.3
2016/4/2,14:00,1239.1
2016/4/2,15:00,1216.6
2016/4/2,16:00,1222.6
2016/4/2,17:00,1261.6
2016/4/2,18:00,1336
2016/4/2,19:00,1311.2
2016/4/2,20:00,1261.9
2016/4/2,21:00,1202.4
2016/4/2,22:00,1146.1
2016/4/2,23:00,1109.9
2016/4/3,00:00,1068.9
2016/4/3,01:00,1056.9
2016/4/3,02:00,1075.6
2016/4/3,03:00,1082.5
2016/4/3,04:00,1063.6
2016/4/3,05:00,1029.7
2016/4/3,06:00,998
2016/4/3,07:00,1028.6
2016/4/3,08:00,1076.8
2016/4/3,09:00,1126.5
2016/4/3,10:00,1126
2016/4/3,11:00,1122.9
2016/4/3,12:00,1111.6
2016/4/3,13:00,1107.5
2016/4/3,14:00,1092.7
2016/4/3,15:00,1098.9
2016/4/3,16:00,1130.1
2016/4/3,17:00,1208.9
2016/4/3,18:00,1287.5
2016/4/3,19:00,1278.1
2016/4/3,20:00,1243.4
2016/4/3,21:00,1197.5
2016/4/3,22:00,1132.7
2016/4/3,23:00,1090.6
2016/4/4,00:00,1039.3
2016/4/4,01:00,1038
2016/4/4,02:00,1061.2
2016/4/4,03:00,1079.9
2016/4/4,04:00,1089
2016/4/4,05:00,1104.2
2016/4/4,06:00,1172.1
2016/4/4,07:00,1320.5
2016/4/4,08:00,1537
2016/4/4,09:00,1655.9
2016/4/4,10:00,1658.8
2016/4/4,11:00,1665.1
2016/4/4,12:00,1549
2016/4/4,13:00,1665.8
2016/4/4,14:00,1661
2016/4/4,15:00,1616.6
2016/4/4,16:00,1615.6
2016/4/4,17:00,1584.1
2016/4/4,18:00,1614.9
2016/4/4,19:00,1558
2016/4/4,20:00,1490.4
2016/4/4,21:00,1454.4
2016/4/4,22:00,1393.7
2016/4/4,23:00,1346.1
2016/4/5,00:00,1267
2016/4/5,01:00,1249.2
2016/4/5,02:00,1254.8
2016/4/5,03:00,1270.4
2016/4/5,04:00,1260.8
2016/4/5,05:00,1262.7
2016/4/5,06:00,1295.8
2016/4/5,07:00,1376.6
2016/4/5,08:00,1567.8
2016/4/5,09:00,1683.8
2016/4/5,10:00,1660.4
2016/4/5,11:00,1637.3
2016/4/5,12:00,1526.7
2016/4/5,13:00,1652.8
2016/4/5,14:00,1655
2016/4/5,15:00,1622.1
2016/4/5,16:00,1614.7
2016/4/5,17:00,1572.5
2016/4/5,18:00,1619.3
2016/4/5,19:00,1582.2
2016/4/5,20:00,1519
2016/4/5,21:00,1478
2016/4/5,22:00,1416.7
2016/4/5,23:00,1375.5
2016/4/6,00:00,1311.2
2016/4/6,01:00,1284.6
2016/4/6,02:00,1284.4
