2020/12/31 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
540,3:00〜4:00,12月30日,12:09,18,85

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
459,3:00〜4:00,12月30日,12:09

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
491,10:00〜11:00,12月30日,12:09,10,91

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
445,10:00〜11:00,12月30日,12:09

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2020/12/30,0:00,415,416,84,492
2020/12/30,1:00,434,436,85,509
2020/12/30,2:00,448,450,85,529
2020/12/30,3:00,458,459,85,540
2020/12/30,4:00,457,458,84,542
2020/12/30,5:00,444,445,84,532
2020/12/30,6:00,432,433,83,523
2020/12/30,7:00,414,415,82,505
2020/12/30,8:00,424,424,85,501
2020/12/30,9:00,434,435,89,489
2020/12/30,10:00,444,445,90,491
2020/12/30,11:00,443,429,88,502
2020/12/30,12:00,435,424,87,500
2020/12/30,13:00,425,418,86,492
2020/12/30,14:00,420,416,86,490
2020/12/30,15:00,424,418,86,492
2020/12/30,16:00,433,428,86,503
2020/12/30,17:00,447,438,87,513
2020/12/30,18:00,448,443,86,518
2020/12/30,19:00,441,438,86,513
2020/12/30,20:00,439,428,87,503
2020/12/30,21:00,432,419,88,493
2020/12/30,22:00,417,409,86,483
2020/12/30,23:00,433,419,88,492

最大使用率(%),時間帯
90,10:00〜11:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
531,4:00〜5:00,12月31日,10:19,11,90

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
479,4:00〜5:00,12月31日,10:19

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
473,20:00〜21:00,12月31日,10:19,7,93

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
440,20:00〜21:00,12月31日,10:19

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2020/12/30,0:00,415,0
2020/12/30,0:05,419,0
2020/12/30,0:10,422,0
2020/12/30,0:15,422,0
2020/12/30,0:20,421,0
2020/12/30,0:25,421,0
2020/12/30,0:30,419,0
2020/12/30,0:35,418,0
2020/12/30,0:40,417,0
2020/12/30,0:45,419,0
2020/12/30,0:50,418,0
2020/12/30,0:55,420,0
2020/12/30,1:00,427,0
2020/12/30,1:05,432,0
2020/12/30,1:10,434,0
2020/12/30,1:15,434,0
2020/12/30,1:20,437,0
2020/12/30,1:25,440,0
2020/12/30,1:30,442,0
2020/12/30,1:35,443,0
2020/12/30,1:40,443,0
2020/12/30,1:45,444,0
2020/12/30,1:50,444,0
2020/12/30,1:55,445,0
2020/12/30,2:00,446,0
2020/12/30,2:05,447,0
2020/12/30,2:10,448,0
2020/12/30,2:15,449,0
2020/12/30,2:20,450,0
2020/12/30,2:25,451,0
2020/12/30,2:30,454,0
2020/12/30,2:35,455,0
2020/12/30,2:40,457,0
2020/12/30,2:45,457,0
2020/12/30,2:50,458,0
2020/12/30,2:55,458,0
2020/12/30,3:00,462,0
2020/12/30,3:05,463,0
2020/12/30,3:10,462,0
2020/12/30,3:15,462,0
2020/12/30,3:20,461,0
2020/12/30,3:25,460,0
2020/12/30,3:30,463,0
2020/12/30,3:35,462,0
2020/12/30,3:40,463,0
2020/12/30,3:45,462,0
2020/12/30,3:50,462,0
2020/12/30,3:55,463,0
2020/12/30,4:00,466,0
2020/12/30,4:05,466,0
2020/12/30,4:10,465,0
2020/12/30,4:15,464,0
2020/12/30,4:20,464,0
2020/12/30,4:25,462,0
2020/12/30,4:30,463,0
2020/12/30,4:35,461,0
2020/12/30,4:40,458,0
2020/12/30,4:45,457,0
2020/12/30,4:50,456,0
2020/12/30,4:55,455,0
2020/12/30,5:00,459,0
2020/12/30,5:05,457,0
2020/12/30,5:10,455,0
2020/12/30,5:15,454,0
2020/12/30,5:20,453,0
2020/12/30,5:25,450,0
2020/12/30,5:30,449,0
2020/12/30,5:35,447,0
2020/12/30,5:40,445,0
2020/12/30,5:45,441,0
2020/12/30,5:50,437,0
2020/12/30,5:55,436,0
2020/12/30,6:00,440,0
2020/12/30,6:05,442,0
2020/12/30,6:10,443,0
2020/12/30,6:15,441,0
2020/12/30,6:20,440,0
2020/12/30,6:25,439,0
2020/12/30,6:30,439,0
2020/12/30,6:35,437,0
2020/12/30,6:40,436,0
2020/12/30,6:45,431,0
2020/12/30,6:50,425,0
2020/12/30,6:55,421,0
2020/12/30,7:00,417,0
2020/12/30,7:05,416,0
2020/12/30,7:10,414,0
2020/12/30,7:15,413,0
2020/12/30,7:20,415,0
2020/12/30,7:25,416,0
2020/12/30,7:30,417,2
2020/12/30,7:35,418,2
2020/12/30,7:40,418,2
2020/12/30,7:45,418,2
2020/12/30,7:50,419,2
2020/12/30,7:55,419,2
2020/12/30,8:00,422,4
2020/12/30,8:05,421,4
2020/12/30,8:10,420,4
2020/12/30,8:15,422,4
2020/12/30,8:20,422,4
2020/12/30,8:25,424,4
2020/12/30,8:30,428,7
2020/12/30,8:35,428,7
2020/12/30,8:40,428,7
2020/12/30,8:45,430,7
2020/12/30,8:50,430,7
2020/12/30,8:55,431,7
2020/12/30,9:00,434,9
2020/12/30,9:05,434,9
2020/12/30,9:10,434,9
2020/12/30,9:15,435,9
2020/12/30,9:20,434,9
2020/12/30,9:25,434,9
2020/12/30,9:30,436,10
2020/12/30,9:35,438,10
2020/12/30,9:40,437,10
2020/12/30,9:45,437,10
2020/12/30,9:50,438,10
2020/12/30,9:55,440,10
2020/12/30,10:00,443,12
2020/12/30,10:05,444,12
2020/12/30,10:10,444,12
2020/12/30,10:15,445,12
2020/12/30,10:20,445,13
2020/12/30,10:25,445,12
2020/12/30,10:30,445,13
2020/12/30,10:35,446,13
2020/12/30,10:40,446,13
2020/12/30,10:45,445,13
2020/12/30,10:50,443,13
2020/12/30,10:55,445,13
2020/12/30,11:00,445,15
2020/12/30,11:05,445,15
2020/12/30,11:10,445,15
2020/12/30,11:15,444,15
2020/12/30,11:20,443,15
2020/12/30,11:25,443,15
2020/12/30,11:30,444,16
2020/12/30,11:35,444,16
2020/12/30,11:40,444,16
2020/12/30,11:45,444,16
2020/12/30,11:50,445,16
2020/12/30,11:55,445,16
2020/12/30,12:00,443,15
2020/12/30,12:05,444,15
2020/12/30,12:10,443,15
2020/12/30,12:15,440,15
2020/12/30,12:20,439,15
2020/12/30,12:25,438,15
2020/12/30,12:30,437,16
2020/12/30,12:35,435,14
2020/12/30,12:40,432,14
2020/12/30,12:45,432,14
2020/12/30,12:50,432,14
2020/12/30,12:55,430,15
2020/12/30,13:00,430,14
2020/12/30,13:05,429,14
2020/12/30,13:10,428,13
2020/12/30,13:15,427,14
2020/12/30,13:20,427,14
2020/12/30,13:25,428,14
2020/12/30,13:30,423,12
2020/12/30,13:35,424,10
2020/12/30,13:40,424,10
2020/12/30,13:45,423,10
2020/12/30,13:50,422,10
2020/12/30,13:55,422,10
2020/12/30,14:00,420,8
