2025/3/20 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
570,9:00〜10:00,3月19日,22:41,37,72
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
415,9:00〜10:00,3月19日,22:41
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
440,19:00〜20:00,3月19日,22:41,10,90
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
398,19:00〜20:00,3月19日,22:41
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2025/3/19,0:00,360,350,88,407
2025/3/19,1:00,373,362,88,423
2025/3/19,2:00,382,377,87,438
2025/3/19,3:00,395,391,86,455
2025/3/19,4:00,406,401,86,469
2025/3/19,5:00,407,408,85,475
2025/3/19,6:00,402,401,85,469
2025/3/19,7:00,390,393,80,484
2025/3/19,8:00,403,409,74,538
2025/3/19,9:00,405,415,71,570
2025/3/19,10:00,403,407,70,571
2025/3/19,11:00,399,398,69,571
2025/3/19,12:00,376,377,69,542
2025/3/19,13:00,373,375,70,529
2025/3/19,14:00,364,367,72,500
2025/3/19,15:00,363,364,78,463
2025/3/19,16:00,374,371,87,429
2025/3/19,17:00,393,397,88,445
2025/3/19,18:00,403,407,88,455
2025/3/19,19:00,392,398,89,440
2025/3/19,20:00,381,386,88,428
2025/3/19,21:00,367,370,87,419
2025/3/19,22:00,354,356,87,407
2025/3/19,23:00,364,356,86,419
最大使用率(%),時間帯
89,19:00〜20:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
455,5:00〜6:00,3月20日,22:41,14,87
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
400,5:00〜6:00,3月20日,22:41
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
432,18:00〜19:00,3月20日,22:41,11,90
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
391,18:00〜19:00,3月20日,22:41
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2025/3/19,0:00,361,0
2025/3/19,0:05,361,0
2025/3/19,0:10,360,0
2025/3/19,0:15,359,0
2025/3/19,0:20,358,0
2025/3/19,0:25,357,0
2025/3/19,0:30,358,0
2025/3/19,0:35,360,0
2025/3/19,0:40,360,0
2025/3/19,0:45,356,0
2025/3/19,0:50,357,0
2025/3/19,0:55,359,0
2025/3/19,1:00,365,0
2025/3/19,1:05,364,0
2025/3/19,1:10,367,0
2025/3/19,1:15,370,0
2025/3/19,1:20,371,0
2025/3/19,1:25,371,0
2025/3/19,1:30,370,0
2025/3/19,1:35,371,0
2025/3/19,1:40,375,0
2025/3/19,1:45,377,0
2025/3/19,1:50,377,0
2025/3/19,1:55,378,0
2025/3/19,2:00,378,0
2025/3/19,2:05,376,0
2025/3/19,2:10,377,0
2025/3/19,2:15,381,0
2025/3/19,2:20,382,0
2025/3/19,2:25,379,0
2025/3/19,2:30,379,0
2025/3/19,2:35,382,0
2025/3/19,2:40,383,0
2025/3/19,2:45,383,0
2025/3/19,2:50,384,0
2025/3/19,2:55,384,0
2025/3/19,3:00,385,0
2025/3/19,3:05,386,0
2025/3/19,3:10,390,0
2025/3/19,3:15,393,0
2025/3/19,3:20,393,0
2025/3/19,3:25,391,0
2025/3/19,3:30,395,0
2025/3/19,3:35,396,0
2025/3/19,3:40,396,0
2025/3/19,3:45,399,0
2025/3/19,3:50,400,0
2025/3/19,3:55,400,0
2025/3/19,4:00,404,0
2025/3/19,4:05,405,0
2025/3/19,4:10,401,0
2025/3/19,4:15,402,0
2025/3/19,4:20,404,0
2025/3/19,4:25,405,0
2025/3/19,4:30,407,0
2025/3/19,4:35,404,0
2025/3/19,4:40,406,0
2025/3/19,4:45,407,0
2025/3/19,4:50,408,0
2025/3/19,4:55,407,0
2025/3/19,5:00,410,0
2025/3/19,5:05,409,0
2025/3/19,5:10,411,0
2025/3/19,5:15,411,0
2025/3/19,5:20,409,0
2025/3/19,5:25,405,0
2025/3/19,5:30,406,0
2025/3/19,5:35,404,0
2025/3/19,5:40,404,0
2025/3/19,5:45,402,0
2025/3/19,5:50,399,1
2025/3/19,5:55,398,1
2025/3/19,6:00,414,13
2025/3/19,6:05,413,14
2025/3/19,6:10,410,16
2025/3/19,6:15,407,17
2025/3/19,6:20,403,19
2025/3/19,6:25,399,20
2025/3/19,6:30,408,34
2025/3/19,6:35,402,36
2025/3/19,6:40,398,38
2025/3/19,6:45,392,39
2025/3/19,6:50,385,40
2025/3/19,6:55,380,42
2025/3/19,7:00,392,59
2025/3/19,7:05,388,61
2025/3/19,7:10,385,62
2025/3/19,7:15,384,64
2025/3/19,7:20,382,66
2025/3/19,7:25,379,68
2025/3/19,7:30,397,90
2025/3/19,7:35,397,91
2025/3/19,7:40,393,93
2025/3/19,7:45,388,94
2025/3/19,7:50,388,94
2025/3/19,7:55,386,98
2025/3/19,8:00,402,120
2025/3/19,8:05,399,121
2025/3/19,8:10,399,123
2025/3/19,8:15,398,125
2025/3/19,8:20,398,128
2025/3/19,8:25,398,129
2025/3/19,8:30,406,141
2025/3/19,8:35,405,142
2025/3/19,8:40,404,144
2025/3/19,8:45,406,145
2025/3/19,8:50,405,147
2025/3/19,8:55,403,149
2025/3/19,9:00,410,160
2025/3/19,9:05,409,161
2025/3/19,9:10,408,162
2025/3/19,9:15,407,163
2025/3/19,9:20,404,164
2025/3/19,9:25,402,165
2025/3/19,9:30,406,173
2025/3/19,9:35,403,174
2025/3/19,9:40,402,174
2025/3/19,9:45,401,175
2025/3/19,9:50,401,175
2025/3/19,9:55,398,176
2025/3/19,10:00,402,182
2025/3/19,10:05,403,183
2025/3/19,10:10,402,183
2025/3/19,10:15,404,182
2025/3/19,10:20,403,182
2025/3/19,10:25,403,182
2025/3/19,10:30,402,184
2025/3/19,10:35,402,184
2025/3/19,10:40,400,183
2025/3/19,10:45,400,184
2025/3/19,10:50,398,185
2025/3/19,10:55,397,185
2025/3/19,11:00,401,185
2025/3/19,11:05,403,185
2025/3/19,11:10,402,185
2025/3/19,11:15,402,185
2025/3/19,11:20,401,185
2025/3/19,11:25,400,185
2025/3/19,11:30,396,184
2025/3/19,11:35,394,183
2025/3/19,11:40,396,182
2025/3/19,11:45,395,182
2025/3/19,11:50,395,182
2025/3/19,11:55,389,183
2025/3/19,12:00,383,179
2025/3/19,12:05,383,179
2025/3/19,12:10,381,178
2025/3/19,12:15,379,178
2025/3/19,12:20,377,177
2025/3/19,12:25,374,177
2025/3/19,12:30,368,173
2025/3/19,12:35,369,171
2025/3/19,12:40,371,170
2025/3/19,12:45,373,170
2025/3/19,12:50,372,170
2025/3/19,12:55,372,169
2025/3/19,13:00,370,161
2025/3/19,13:05,375,161
2025/3/19,13:10,376,161
2025/3/19,13:15,376,160
2025/3/19,13:20,377,159
2025/3/19,13:25,378,160
2025/3/19,13:30,365,148
2025/3/19,13:35,367,147
2025/3/19,13:40,370,147
2025/3/19,13:45,372,146
2025/3/19,13:50,371,146
2025/3/19,13:55,372,145
2025/3/19,14:00,361,130
2025/3/19,14:05,365,130
2025/3/19,14:10,367,129
2025/3/19,14:15,368,128
2025/3/19,14:20,368,126
2025/3/19,14:25,368,124
2025/3/19,14:30,355,109
2025/3/19,14:35,357,108
2025/3/19,14:40,359,108
2025/3/19,14:45,363,107
2025/3/19,14:50,365,105
2025/3/19,14:55,368,103
2025/3/19,15:00,354,87
2025/3/19,15:05,356,85
2025/3/19,15:10,358,83
2025/3/19,15:15,361,82
2025/3/19,15:20,363,81
2025/3/19,15:25,366,78
2025/3/19,15:30,356,61
2025/3/19,15:35,360,59
2025/3/19,15:40,363,55
2025/3/19,15:45,365,52
2025/3/19,15:50,371,50
2025/3/19,15:55,376,48
2025/3/19,16:00,363,35
2025/3/19,16:05,365,33
2025/3/19,16:10,366,31
2025/3/19,16:15,369,30
2025/3/19,16:20,373,28
2025/3/19,16:25,373,27
2025/3/19,16:30,369,17
2025/3/19,16:35,372,15
2025/3/19,16:40,376,14
2025/3/19,16:45,380,13
2025/3/19,16:50,382,12
2025/3/19,16:55,383,10
2025/3/19,17:00,383,5
2025/3/19,17:05,384,4
2025/3/19,17:10,385,3
2025/3/19,17:15,390,2
2025/3/19,17:20,390,1
2025/3/19,17:25,391,1
2025/3/19,17:30,391,0
2025/3/19,17:35,393,0
2025/3/19,17:40,393,0
2025/3/19,17:45,396,0
2025/3/19,17:50,398,0
2025/3/19,17:55,399,0
2025/3/19,18:00,405,0
2025/3/19,18:05,404,0
2025/3/19,18:10,402,0
2025/3/19,18:15,402,0
2025/3/19,18:20,403,0
2025/3/19,18:25,399,0
2025/3/19,18:30,401,0
2025/3/19,18:35,402,0
2025/3/19,18:40,401,0
2025/3/19,18:45,403,0
2025/3/19,18:50,402,0
2025/3/19,18:55,399,0
2025/3/19,19:00,402,0
2025/3/19,19:05,398,0
2025/3/19,19:10,395,0
2025/3/19,19:15,395,0
2025/3/19,19:20,393,0
2025/3/19,19:25,391,0
2025/3/19,19:30,393,0
2025/3/19,19:35,391,0
2025/3/19,19:40,389,0
2025/3/19,19:45,387,0
2025/3/19,19:50,385,0
2025/3/19,19:55,383,0
2025/3/19,20:00,389,0
2025/3/19,20:05,388,0
2025/3/19,20:10,385,0
2025/3/19,20:15,384,0
2025/3/19,20:20,381,0
2025/3/19,20:25,379,0
2025/3/19,20:30,379,0
2025/3/19,20:35,380,0
2025/3/19,20:40,379,0
2025/3/19,20:45,375,0
2025/3/19,20:50,372,0
2025/3/19,20:55,370,0
2025/3/19,21:00,376,0
2025/3/19,21:05,375,0
2025/3/19,21:10,373,0
2025/3/19,21:15,371,0
2025/3/19,21:20,369,0
2025/3/19,21:25,368,0
2025/3/19,21:30,366,0
2025/3/19,21:35,363,0
2025/3/19,21:40,362,0
2025/3/19,21:45,360,0
2025/3/19,21:50,357,0
2025/3/19,21:55,356,0
2025/3/19,22:00,357,0
2025/3/19,22:05,355,0
2025/3/19,22:10,355,0
2025/3/19,22:15,356,0
2025/3/19,22:20,355,0
2025/3/19,22:25,355,0
2025/3/19,22:30,354,0
2025/3/19,22:35,352,0
2025/3/19,22:40,352,0
2025/3/19,22:45,352,0
2025/3/19,22:50,350,0
2025/3/19,22:55,349,0
2025/3/19,23:00,364,0
2025/3/19,23:05,367,0
2025/3/19,23:10,367,0
2025/3/19,23:15,366,0
2025/3/19,23:20,363,0
2025/3/19,23:25,360,0
2025/3/19,23:30,363,0
2025/3/19,23:35,365,0
2025/3/19,23:40,362,0
2025/3/19,23:45,357,0
2025/3/19,23:50,358,0
2025/3/19,23:55,358,0
