DATA,TIME,実績(万kW)
01/04/2016,00:00,316.6
01/04/2016,01:00,328.2
01/04/2016,02:00,338.7
01/04/2016,03:00,346.8
01/04/2016,04:00,359.8
01/04/2016,05:00,354.5
01/04/2016,06:00,340.3
01/04/2016,07:00,324.2
01/04/2016,08:00,337.6
01/04/2016,09:00,350.2
01/04/2016,10:00,349
01/04/2016,11:00,349.7
01/04/2016,12:00,331.6
01/04/2016,13:00,336.2
01/04/2016,14:00,335.7
01/04/2016,15:00,334.7
01/04/2016,16:00,345.3
01/04/2016,17:00,352.1
01/04/2016,18:00,375.1
01/04/2016,19:00,371.5
01/04/2016,20:00,350.8
01/04/2016,21:00,337.6
01/04/2016,22:00,320.6
01/04/2016,23:00,325.6
02/04/2016,00:00,317.6
02/04/2016,01:00,327.1
02/04/2016,02:00,333.6
02/04/2016,03:00,342.4
02/04/2016,04:00,348.6
02/04/2016,05:00,343.4
02/04/2016,06:00,326.1
02/04/2016,07:00,317.9
02/04/2016,08:00,332.1
02/04/2016,09:00,341.4
02/04/2016,10:00,331.1
02/04/2016,11:00,326.6
02/04/2016,12:00,310.4
02/04/2016,13:00,313.8
02/04/2016,14:00,316.5
02/04/2016,15:00,322.7
02/04/2016,16:00,333.1
02/04/2016,17:00,346.7
02/04/2016,18:00,371
02/04/2016,19:00,364.3
02/04/2016,20:00,350.9
02/04/2016,21:00,341.3
02/04/2016,22:00,325.1
02/04/2016,23:00,333.8
03/04/2016,00:00,321.6
03/04/2016,01:00,324.8
03/04/2016,02:00,335.4
03/04/2016,03:00,340.2
03/04/2016,04:00,347.1
03/04/2016,05:00,338.4
03/04/2016,06:00,315
03/04/2016,07:00,306.1
03/04/2016,08:00,313.9
03/04/2016,09:00,327.2
03/04/2016,10:00,323.4
03/04/2016,11:00,313.9
03/04/2016,12:00,304.9
03/04/2016,13:00,298.7
03/04/2016,14:00,293.3
03/04/2016,15:00,295.3
03/04/2016,16:00,307.1
03/04/2016,17:00,325.7
03/04/2016,18:00,351.4
03/04/2016,19:00,347.1
03/04/2016,20:00,337.9
03/04/2016,21:00,327.2
03/04/2016,22:00,311.7
03/04/2016,23:00,315
04/04/2016,00:00,307.2
04/04/2016,01:00,318.9
04/04/2016,02:00,329.2
04/04/2016,03:00,335.2
04/04/2016,04:00,344.4
04/04/2016,05:00,341.2
04/04/2016,06:00,327.7
04/04/2016,07:00,323.1
04/04/2016,08:00,348.1
04/04/2016,09:00,362.1
04/04/2016,10:00,359.6
04/04/2016,11:00,359.8
04/04/2016,12:00,331
04/04/2016,13:00,338.8
04/04/2016,14:00,335.2
04/04/2016,15:00,332.4
04/04/2016,16:00,341.5
04/04/2016,17:00,351.4
04/04/2016,18:00,382.1
04/04/2016,19:00,370.8
04/04/2016,20:00,355.1
04/04/2016,21:00,341.1
04/04/2016,22:00,319.5
04/04/2016,23:00,321
05/04/2016,00:00,308.3
05/04/2016,01:00,318.2
05/04/2016,02:00,327.5
05/04/2016,03:00,335
05/04/2016,04:00,344.2
05/04/2016,05:00,339.2
05/04/2016,06:00,323.3
05/04/2016,07:00,313
05/04/2016,08:00,333
05/04/2016,09:00,343.1
05/04/2016,10:00,344.4
05/04/2016,11:00,348.3
05/04/2016,12:00,322.4
05/04/2016,13:00,329.5
05/04/2016,14:00,327
05/04/2016,15:00,329.6
05/04/2016,16:00,340.9
05/04/2016,17:00,349.2
05/04/2016,18:00,375.7
05/04/2016,19:00,364.6
05/04/2016,20:00,347.1
05/04/2016,21:00,333.6
05/04/2016,22:00,314.5
05/04/2016,23:00,316.7
06/04/2016,00:00,307.3
06/04/2016,01:00,322.1
