DATA,TIME,実績(万kW)
01/01/2017,00:00,404.1
01/01/2017,01:00,416.9
01/01/2017,02:00,424.6
01/01/2017,03:00,428.7
01/01/2017,04:00,429
01/01/2017,05:00,417.9
01/01/2017,06:00,387.1
01/01/2017,07:00,350.1
01/01/2017,08:00,347.4
01/01/2017,09:00,339.7
01/01/2017,10:00,332.1
01/01/2017,11:00,327.5
01/01/2017,12:00,328.1
01/01/2017,13:00,323.9
01/01/2017,14:00,319
01/01/2017,15:00,330.3
01/01/2017,16:00,350.4
01/01/2017,17:00,371.8
01/01/2017,18:00,377.4
01/01/2017,19:00,367
01/01/2017,20:00,368.1
01/01/2017,21:00,374.9
01/01/2017,22:00,362.3
01/01/2017,23:00,380
02/01/2017,00:00,372.4
02/01/2017,01:00,382.1
02/01/2017,02:00,395.3
02/01/2017,03:00,403.6
02/01/2017,04:00,406.8
02/01/2017,05:00,403.8
02/01/2017,06:00,382.8
02/01/2017,07:00,354.5
02/01/2017,08:00,357.6
02/01/2017,09:00,349.9
02/01/2017,10:00,339.8
02/01/2017,11:00,339.2
02/01/2017,12:00,338.7
02/01/2017,13:00,334.6
02/01/2017,14:00,332.6
02/01/2017,15:00,346.3
02/01/2017,16:00,369.8
02/01/2017,17:00,390.6
02/01/2017,18:00,393
02/01/2017,19:00,379.8
02/01/2017,20:00,381
02/01/2017,21:00,383.9
02/01/2017,22:00,370.4
02/01/2017,23:00,386.3
03/01/2017,00:00,381.1
03/01/2017,01:00,392.6
03/01/2017,02:00,410
03/01/2017,03:00,420.9
03/01/2017,04:00,421.6
03/01/2017,05:00,418.2
03/01/2017,06:00,392.8
03/01/2017,07:00,364
03/01/2017,08:00,374.6
03/01/2017,09:00,375.5
03/01/2017,10:00,369.1
03/01/2017,11:00,359.4
03/01/2017,12:00,352.4
03/01/2017,13:00,355.7
03/01/2017,14:00,364.5
03/01/2017,15:00,375.5
03/01/2017,16:00,391.6
03/01/2017,17:00,412.2
03/01/2017,18:00,413.4
03/01/2017,19:00,400.5
03/01/2017,20:00,396.4
03/01/2017,21:00,395.1
03/01/2017,22:00,376.7
03/01/2017,23:00,392.8
04/01/2017,00:00,385.4
04/01/2017,01:00,396.6
04/01/2017,02:00,408.4
04/01/2017,03:00,416.4
04/01/2017,04:00,422.8
04/01/2017,05:00,421.6
04/01/2017,06:00,407.9
04/01/2017,07:00,388.7
04/01/2017,08:00,406.1
04/01/2017,09:00,411.3
04/01/2017,10:00,401.2
04/01/2017,11:00,396.3
04/01/2017,12:00,390.2
04/01/2017,13:00,399.8
04/01/2017,14:00,401.3
04/01/2017,15:00,410
04/01/2017,16:00,425.7
04/01/2017,17:00,439.6
04/01/2017,18:00,438.3
04/01/2017,19:00,424
04/01/2017,20:00,425.6
04/01/2017,21:00,429.5
04/01/2017,22:00,409
04/01/2017,23:00,416.6
05/01/2017,00:00,408.8
05/01/2017,01:00,420.5
05/01/2017,02:00,433.7
05/01/2017,03:00,444.4
05/01/2017,04:00,454.3
05/01/2017,05:00,449.5
05/01/2017,06:00,438.3
05/01/2017,07:00,423.4
05/01/2017,08:00,443.1
05/01/2017,09:00,444.9
05/01/2017,10:00,420.1
