2023/4/10 8:00 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
322,4:00〜5:00,4月9日,3:46,7,93
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
302,4:00〜5:00,4月9日,2:46
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
322,4:00〜5:00,4月9日,3:46,7,93
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
302,4:00〜5:00,4月9日,3:46
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2023/4/9,0:00,251,243,73,342
2023/4/9,1:00,255,247,76,334
2023/4/9,2:00,276,267,82,333
2023/4/9,3:00,291,294,89,326
2023/4/9,4:00,297,302,92,322
2023/4/9,5:00,292,293,92,316
2023/4/9,6:00,273,271,85,320
2023/4/9,7:00,253,248,83,304
2023/4/9,8:00,246,243,82,297
2023/4/9,9:00,249,245,79,314
2023/4/9,10:00,247,249,76,323
2023/4/9,11:00,249,244,76,325
2023/4/9,12:00,247,239,77,318
2023/4/9,13:00,240,232,78,307
2023/4/9,14:00,235,225,77,303
2023/4/9,15:00,232,224,79,292
2023/4/9,16:00,239,233,78,305
2023/4/9,17:00,252,249,81,310
2023/4/9,18:00,270,262,85,314
2023/4/9,19:00,274,266,84,323
2023/4/9,20:00,272,260,84,321
2023/4/9,21:00,263,256,83,316
2023/4/9,22:00,254,255,80,314
2023/4/9,23:00,249,251,77,320
最大使用率(%),時間帯
92,5:00〜6:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
425,11:00〜12:00,4月10日,7:46,31,76
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
325,11:00〜12:00,4月9日,16:48
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
345,17:00〜18:00,4月10日,7:46,12,89
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
309,17:00〜18:00,4月10日,7:46
