2025/8/5 23:46 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
514,10:00〜11:00,8月5日,23:16,13,88
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
455,10:00〜11:00,8月5日,15:52
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
443,18:00〜19:00,8月5日,23:46,11,89
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
398,18:00〜19:00,8月5日,23:46
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2025/8/6,0:00,0,304,0,379
2025/8/6,1:00,0,295,0,369
2025/8/6,2:00,0,296,0,369
2025/8/6,3:00,0,298,0,373
2025/8/6,4:00,0,301,0,386
2025/8/6,5:00,0,309,0,389
2025/8/6,6:00,0,323,0,407
2025/8/6,7:00,0,360,0,437
2025/8/6,8:00,0,414,0,480
2025/8/6,9:00,0,450,0,510
2025/8/6,10:00,0,455,0,514
2025/8/6,11:00,0,452,0,506
2025/8/6,12:00,0,429,0,482
2025/8/6,13:00,0,447,0,500
2025/8/6,14:00,0,450,0,503
2025/8/6,15:00,0,448,0,500
2025/8/6,16:00,0,438,0,489
2025/8/6,17:00,0,415,0,464
2025/8/6,18:00,0,398,0,443
2025/8/6,19:00,0,380,0,423
2025/8/6,20:00,0,364,0,407
2025/8/6,21:00,0,346,0,386
2025/8/6,22:00,0,331,0,371
2025/8/6,23:00,0,317,0,354
