2018/10/15 1:10 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%)
1869,18:00〜19:00,10/14,9:30,77
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1450,18:00〜19:00,10/14,9:30
最大使用率(%),予想気温(最低),予想気温(最高),気温実績(最低),気温実績(最高)
80,17,23,17.1,25.2
DATE,TIME,当日実績(万kW),予想値(万kW),使用率(%)
2018/10/14,0:00,1174,1150,62
2018/10/14,1:00,1116,1110,59
2018/10/14,2:00,1153,1150,61
2018/10/14,3:00,1227,1210,65
2018/10/14,4:00,1223,1220,65
2018/10/14,5:00,1178,1170,63
2018/10/14,6:00,1134,1140,60
2018/10/14,7:00,1165,1190,62
2018/10/14,8:00,1235,1250,66
2018/10/14,9:00,1289,1310,68
2018/10/14,10:00,1345,1330,71
2018/10/14,11:00,1329,1340,71
2018/10/14,12:00,1347,1340,72
2018/10/14,13:00,1362,1340,72
2018/10/14,14:00,1373,1330,73
2018/10/14,15:00,1354,1330,72
2018/10/14,16:00,1358,1360,72
2018/10/14,17:00,1443,1430,77
2018/10/14,18:00,1499,1450,80
2018/10/14,19:00,1469,1450,78
2018/10/14,20:00,1422,1400,76
2018/10/14,21:00,1361,1340,72
2018/10/14,22:00,1284,1280,68
2018/10/14,23:00,1218,1210,65
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%)
1975,17:00〜18:00,10/14,18:30,89
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1760,17:00〜18:00,10/14,18:30
予想気温(最低),予想気温(最高)
17,23
DATE,TIME,当日実績(５分間隔値)(万kW)
2018/10/14,0:00,1215
2018/10/14,0:05,1206
2018/10/14,0:10,1199
2018/10/14,0:15,1183
2018/10/14,0:20,1179
2018/10/14,0:25,1164
2018/10/14,0:30,1174
2018/10/14,0:35,1171
2018/10/14,0:40,1163
2018/10/14,0:45,1150
2018/10/14,0:50,1143
2018/10/14,0:55,1142
2018/10/14,1:00,1138
2018/10/14,1:05,1123
2018/10/14,1:10,1119
2018/10/14,1:15,1106
2018/10/14,1:20,1108
2018/10/14,1:25,1099
2018/10/14,1:30,1105
2018/10/14,1:35,1115
2018/10/14,1:40,1115
2018/10/14,1:45,1116
2018/10/14,1:50,1119
2018/10/14,1:55,1129
2018/10/14,2:00,1120
2018/10/14,2:05,1122
2018/10/14,2:10,1125
2018/10/14,2:15,1126
2018/10/14,2:20,1133
2018/10/14,2:25,1152
2018/10/14,2:30,1153
2018/10/14,2:35,1165
2018/10/14,2:40,1167
2018/10/14,2:45,1178
2018/10/14,2:50,1191
2018/10/14,2:55,1200
2018/10/14,3:00,1203
2018/10/14,3:05,1197
2018/10/14,3:10,1197
2018/10/14,3:15,1216
2018/10/14,3:20,1223
2018/10/14,3:25,1236
2018/10/14,3:30,1237
2018/10/14,3:35,1237
2018/10/14,3:40,1247
2018/10/14,3:45,1253
2018/10/14,3:50,1236
2018/10/14,3:55,1236
2018/10/14,4:00,1238
2018/10/14,4:05,1240
2018/10/14,4:10,1226
2018/10/14,4:15,1223
2018/10/14,4:20,1220
2018/10/14,4:25,1229
2018/10/14,4:30,1229
2018/10/14,4:35,1228
2018/10/14,4:40,1220
2018/10/14,4:45,1207
2018/10/14,4:50,1212
2018/10/14,4:55,1205
2018/10/14,5:00,1210
2018/10/14,5:05,1211
2018/10/14,5:10,1199
2018/10/14,5:15,1191
2018/10/14,5:20,1191
2018/10/14,5:25,1185
2018/10/14,5:30,1172
2018/10/14,5:35,1169
2018/10/14,5:40,1167
2018/10/14,5:45,1160
2018/10/14,5:50,1145
2018/10/14,5:55,1133
2018/10/14,6:00,1145
2018/10/14,6:05,1129
2018/10/14,6:10,1119
2018/10/14,6:15,1119
2018/10/14,6:20,1129
2018/10/14,6:25,1134
2018/10/14,6:30,1121
2018/10/14,6:35,1130
2018/10/14,6:40,1139
2018/10/14,6:45,1139
2018/10/14,6:50,1147
2018/10/14,6:55,1152
2018/10/14,7:00,1138
2018/10/14,7:05,1142
2018/10/14,7:10,1135
2018/10/14,7:15,1148
2018/10/14,7:20,1152
2018/10/14,7:25,1157
2018/10/14,7:30,1168
2018/10/14,7:35,1179
2018/10/14,7:40,1185
2018/10/14,7:45,1186
2018/10/14,7:50,1193
2018/10/14,7:55,1199
2018/10/14,8:00,1202
2018/10/14,8:05,1209
2018/10/14,8:10,1210
2018/10/14,8:15,1225
2018/10/14,8:20,1236
2018/10/14,8:25,1234
2018/10/14,8:30,1238
2018/10/14,8:35,1250
2018/10/14,8:40,1257
2018/10/14,8:45,1252
2018/10/14,8:50,1258
2018/10/14,8:55,1251
2018/10/14,9:00,1249
2018/10/14,9:05,1264
2018/10/14,9:10,1270
2018/10/14,9:15,1267
2018/10/14,9:20,1275
2018/10/14,9:25,1286
2018/10/14,9:30,1305
2018/10/14,9:35,1305
2018/10/14,9:40,1299
2018/10/14,9:45,1309
2018/10/14,9:50,1317
2018/10/14,9:55,1322
2018/10/14,10:00,1327
2018/10/14,10:05,1330
2018/10/14,10:10,1340
2018/10/14,10:15,1347
2018/10/14,10:20,1354
2018/10/14,10:25,1336
2018/10/14,10:30,1345
2018/10/14,10:35,1341
2018/10/14,10:40,1346
2018/10/14,10:45,1352
2018/10/14,10:50,1362
2018/10/14,10:55,1363
2018/10/14,11:00,1332
2018/10/14,11:05,1328
2018/10/14,11:10,1350
2018/10/14,11:15,1350
2018/10/14,11:20,1338
2018/10/14,11:25,1329
2018/10/14,11:30,1310
2018/10/14,11:35,1310
2018/10/14,11:40,1316
2018/10/14,11:45,1322
2018/10/14,11:50,1333
2018/10/14,11:55,1334
2018/10/14,12:00,1336
2018/10/14,12:05,1346
2018/10/14,12:10,1347
2018/10/14,12:15,1339
2018/10/14,12:20,1356
2018/10/14,12:25,1346
2018/10/14,12:30,1353
2018/10/14,12:35,1360
2018/10/14,12:40,1354
2018/10/14,12:45,1336
2018/10/14,12:50,1337
2018/10/14,12:55,1354
2018/10/14,13:00,1344
2018/10/14,13:05,1361
2018/10/14,13:10,1368
2018/10/14,13:15,1377
2018/10/14,13:20,1370
2018/10/14,13:25,1370
2018/10/14,13:30,1353
2018/10/14,13:35,1348
2018/10/14,13:40,1346
2018/10/14,13:45,1368
2018/10/14,13:50,1364
2018/10/14,13:55,1374
2018/10/14,14:00,1373
2018/10/14,14:05,1385
2018/10/14,14:10,1393
2018/10/14,14:15,1386
2018/10/14,14:20,1377
2018/10/14,14:25,1364
2018/10/14,14:30,1372
2018/10/14,14:35,1376
2018/10/14,14:40,1376
2018/10/14,14:45,1366
2018/10/14,14:50,1359
2018/10/14,14:55,1353
2018/10/14,15:00,1360
2018/10/14,15:05,1373
2018/10/14,15:10,1368
2018/10/14,15:15,1365
2018/10/14,15:20,1355
2018/10/14,15:25,1367
2018/10/14,15:30,1362
2018/10/14,15:35,1351
2018/10/14,15:40,1333
2018/10/14,15:45,1333
2018/10/14,15:50,1341
2018/10/14,15:55,1338
2018/10/14,16:00,1335
2018/10/14,16:05,1346
2018/10/14,16:10,1338
2018/10/14,16:15,1338
2018/10/14,16:20,1341
2018/10/14,16:25,1355
2018/10/14,16:30,1374
2018/10/14,16:35,1386
2018/10/14,16:40,1379
2018/10/14,16:45,1368
2018/10/14,16:50,1364
2018/10/14,16:55,1366
2018/10/14,17:00,1379
2018/10/14,17:05,1401
2018/10/14,17:10,1408
2018/10/14,17:15,1400
2018/10/14,17:20,1420
