2021/3/6 1:10 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%)
2184,10:00〜11:00,3/5,9:30,89
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1960,10:00〜11:00,3/5,9:30
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時使用率(%)
2162,9:00〜10:00,3/5,9:30,90
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1950,9:00〜10:00,3/5,9:30
最大使用率(%),予想気温(最低),予想気温(最高),気温実績(最低),気温実績(最高)
90,10,14,10.1,13.7
DATE,TIME,当日実績(万kW),予想値(万kW),使用率(%),供給力想定値(万kW)
2021/3/5,0:00,1402,1430,81,1713
2021/3/5,1:00,1374,1400,80,1699
2021/3/5,2:00,1411,1430,83,1686
2021/3/5,3:00,1437,1450,85,1678
2021/3/5,4:00,1428,1440,85,1671
2021/3/5,5:00,1420,1430,85,1668
2021/3/5,6:00,1502,1520,85,1758
2021/3/5,7:00,1659,1670,87,1890
2021/3/5,8:00,1840,1850,88,2081
2021/3/5,9:00,1950,1950,90,2162
2021/3/5,10:00,1957,1960,89,2184
2021/3/5,11:00,1922,1950,88,2166
2021/3/5,12:00,1813,1840,87,2079
2021/3/5,13:00,1871,1890,88,2119
2021/3/5,14:00,1853,1870,87,2108
2021/3/5,15:00,1851,1850,88,2093
2021/3/5,16:00,1862,1850,88,2098
2021/3/5,17:00,1838,1840,88,2088
2021/3/5,18:00,1835,1820,88,2072
2021/3/5,19:00,1770,1760,87,2031
2021/3/5,20:00,1704,1690,86,1960
2021/3/5,21:00,1636,1610,86,1891
2021/3/5,22:00,1560,1540,85,1832
2021/3/5,23:00,1481,1470,83,1764
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%)
1908,18:00〜19:00,3/5,18:30,88
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1680,18:00〜19:00,3/5,18:30
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時使用率(%)
1908,18:00〜19:00,3/5,18:30,88
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1680,18:00〜19:00,3/5,18:30
予想気温(最低),予想気温(最高)
12,14
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2021/3/5,0:00,1449,0
2021/3/5,0:05,1442,0
