2024/11/19 1:10 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1995,17:00〜18:00,11/19,0:13,17,85
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1710,17:00〜18:00,11/19,0:13
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1595,8:00〜9:00,11/19,0:13,9,92
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1470,8:00〜9:00,11/19,0:13
最大使用率(%),予想気温(最低),予想気温(最高),気温実績(最低),気温実績(最高)
90,*,*,*,*
DATE,TIME,当日実績(万kW),予想値(万kW),使用率(%),供給力想定値(万kW)
2024/11/18,0:00,1051,1050,87,1199
2024/11/18,1:00,1002,1020,81,1226
2024/11/18,2:00,1043,1060,84,1234
2024/11/18,3:00,1113,1120,88,1255
2024/11/18,4:00,1138,1150,86,1322
2024/11/18,5:00,1151,1160,87,1314
2024/11/18,6:00,1193,1210,89,1326
2024/11/18,7:00,1292,1320,90,1433
2024/11/18,8:00,1448,1470,90,1595
2024/11/18,9:00,1557,1570,90,1712
2024/11/18,10:00,1585,1620,89,1772
2024/11/18,11:00,1559,1610,88,1764
2024/11/18,12:00,1472,1560,85,1712
2024/11/18,13:00,1553,1640,85,1813
2024/11/18,14:00,1559,1650,84,1842
2024/11/18,15:00,1569,1660,83,1877
2024/11/18,16:00,1614,1700,83,1943
2024/11/18,17:00,1647,1710,82,1995
2024/11/18,18:00,1630,1680,82,1976
2024/11/18,19:00,1574,1620,81,1921
2024/11/18,20:00,1528,1550,81,1874
2024/11/18,21:00,1470,1470,80,1828
2024/11/18,22:00,1397,1400,77,1793
2024/11/18,23:00,1325,1320,73,1792
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%)
1938,10:00〜11:00,11/18,23:43,92
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1800,10:00〜11:00,11/18,23:43
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時使用率(%)
1935,17:00〜18:00,11/18,23:43,93
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1800,17:00〜18:00,11/18,23:43
予想気温(最低),予想気温(最高)
*,*
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW)
2024/11/18,0:00,1087,0
2024/11/18,0:05,1083,0
2024/11/18,0:10,1084,0
2024/11/18,0:15,1092,0
2024/11/18,0:20,1076,0
2024/11/18,0:25,1067,0
2024/11/18,0:30,1045,0
2024/11/18,0:35,1039,0
2024/11/18,0:40,1024,0
2024/11/18,0:45,1033,0
2024/11/18,0:50,1035,0
2024/11/18,0:55,1023,0
2024/11/18,1:00,1005,0
2024/11/18,1:05,1000,0
2024/11/18,1:10,1006,0
2024/11/18,1:15,1002,0
2024/11/18,1:20,1003,0
2024/11/18,1:25,1005,0
2024/11/18,1:30,997,0
2024/11/18,1:35,1003,0
2024/11/18,1:40,996,0
2024/11/18,1:45,1002,0
2024/11/18,1:50,1008,0
2024/11/18,1:55,999,0
2024/11/18,2:00,998,0
2024/11/18,2:05,993,0
2024/11/18,2:10,1009,0
2024/11/18,2:15,1014,0
2024/11/18,2:20,1022,0
2024/11/18,2:25,1031,0
2024/11/18,2:30,1033,0
2024/11/18,2:35,1046,0
2024/11/18,2:40,1066,0
2024/11/18,2:45,1073,0
2024/11/18,2:50,1074,0
2024/11/18,2:55,1076,0
2024/11/18,3:00,1076,0
2024/11/18,3:05,1076,0
2024/11/18,3:10,1077,0
2024/11/18,3:15,1088,0
2024/11/18,3:20,1101,0
2024/11/18,3:25,1118,0
2024/11/18,3:30,1122,0
2024/11/18,3:35,1121,0
2024/11/18,3:40,1113,0
2024/11/18,3:45,1123,0
2024/11/18,3:50,1136,0
2024/11/18,3:55,1137,0
2024/11/18,4:00,1139,0
2024/11/18,4:05,1143,0
2024/11/18,4:10,1142,0
2024/11/18,4:15,1128,0
2024/11/18,4:20,1127,0
2024/11/18,4:25,1116,0
2024/11/18,4:30,1128,0
2024/11/18,4:35,1129,0
2024/11/18,4:40,1145,0
2024/11/18,4:45,1153,0
2024/11/18,4:50,1143,0
2024/11/18,4:55,1150,0
2024/11/18,5:00,1150,0
2024/11/18,5:05,1150,0
2024/11/18,5:10,1154,0
2024/11/18,5:15,1153,0
2024/11/18,5:20,1149,0
2024/11/18,5:25,1154,0
2024/11/18,5:30,1153,0
2024/11/18,5:35,1150,0
2024/11/18,5:40,1147,0
2024/11/18,5:45,1147,0
2024/11/18,5:50,1146,0
2024/11/18,5:55,1153,0
2024/11/18,6:00,1157,0
2024/11/18,6:05,1164,0
2024/11/18,6:10,1174,0
2024/11/18,6:15,1168,0
2024/11/18,6:20,1165,0
2024/11/18,6:25,1185,0
2024/11/18,6:30,1185,0
2024/11/18,6:35,1197,0
2024/11/18,6:40,1202,0
2024/11/18,6:45,1211,1
2024/11/18,6:50,1210,3
2024/11/18,6:55,1215,6
2024/11/18,7:00,1234,9
2024/11/18,7:05,1241,13
2024/11/18,7:10,1252,18
2024/11/18,7:15,1262,23
2024/11/18,7:20,1272,31
2024/11/18,7:25,1272,41
2024/11/18,7:30,1272,48
2024/11/18,7:35,1279,56
2024/11/18,7:40,1304,64
2024/11/18,7:45,1322,71
2024/11/18,7:50,1334,80
2024/11/18,7:55,1339,90
2024/11/18,8:00,1352,100
2024/11/18,8:05,1364,110
2024/11/18,8:10,1392,121
2024/11/18,8:15,1409,130
2024/11/18,8:20,1417,139
2024/11/18,8:25,1419,147
2024/11/18,8:30,1433,156
