2025/4/15 1:10 UPDATE,,,,,
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1872,10:00〜11:00,4月15日,0:13,18,84
,,,,,
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻,,
1590,10:00〜11:00,4月15日,0:13,,
,,,,,
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1350,3:00〜4:00,4月15日,0:13,13,88
,,,,,
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻,,
1190,3:00〜4:00,4月15日,0:13,,
,,,,,
最大使用率(%),予想気温(最低),予想気温(最高),気温実績(最低),気温実績(最高),
88,*,*,*,*,
,,,,,
DATE,TIME,当日実績(万kW),予想値(万kW),使用率(%),供給力想定値(万kW)
2025/4/14,0:00,1106,1110,81,1349
2025/4/14,1:00,1072,1090,79,1343
2025/4/14,2:00,1120,1130,83,1338
2025/4/14,3:00,1192,1190,88,1350
2025/4/14,4:00,1221,1210,88,1379
2025/4/14,5:00,1239,1230,88,1405
2025/4/14,6:00,1284,1270,87,1466
2025/4/14,7:00,1368,1360,85,1609
2025/4/14,8:00,1494,1480,86,1736
2025/4/14,9:00,1598,1570,87,1832
2025/4/14,10:00,1602,1590,85,1872
2025/4/14,11:00,1584,1560,85,1848
2025/4/14,12:00,1478,1480,84,1757
2025/4/14,13:00,1542,1530,84,1815
2025/4/14,14:00,1539,1530,81,1877
2025/4/14,15:00,1553,1510,86,1797
2025/4/14,16:00,1578,1510,87,1803
2025/4/14,17:00,1573,1520,85,1836
2025/4/14,18:00,1593,1550,84,1887
2025/4/14,19:00,1566,1520,83,1881
2025/4/14,20:00,1517,1470,83,1825
2025/4/14,21:00,1452,1410,82,1767
2025/4/14,22:00,1360,1330,77,1757
2025/4/14,23:00,1288,1260,74,1726
,,,,,
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時使用率(%),
1893,10:00〜11:00,4月14日,16:31,88,
,,,,,
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻,,
1670,10:00〜11:00,4月14日,16:31,,
,,,,,
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時使用率(%),
1893,10:00〜11:00,4月14日,16:31,88,
,,,,,
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻,,
1670,10:00〜11:00,4月14日,16:31,,
,,,,,
予想気温(最低),予想気温(最高),,,,
*,*,,,,
,,,,,
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),,
2025/4/14,0:00,1144,0,,
2025/4/14,0:05,1142,0,,
2025/4/14,0:10,1142,0,,
2025/4/14,0:15,1133,0,,
2025/4/14,0:20,1127,0,,
2025/4/14,0:25,1123,0,,
2025/4/14,0:30,1113,0,,
2025/4/14,0:35,1101,0,,
2025/4/14,0:40,1085,0,,
2025/4/14,0:45,1084,0,,
2025/4/14,0:50,1079,0,,
2025/4/14,0:55,1066,0,,
2025/4/14,1:00,1071,0,,
2025/4/14,1:05,1076,0,,
2025/4/14,1:10,1074,0,,
2025/4/14,1:15,1080,0,,
2025/4/14,1:20,1077,0,,
2025/4/14,1:25,1064,0,,
2025/4/14,1:30,1064,0,,
2025/4/14,1:35,1064,0,,
2025/4/14,1:40,1069,0,,
2025/4/14,1:45,1067,0,,
2025/4/14,1:50,1071,0,,
2025/4/14,1:55,1073,0,,
2025/4/14,2:00,1088,0,,
2025/4/14,2:05,1097,0,,
2025/4/14,2:10,1103,0,,
2025/4/14,2:15,1097,0,,
2025/4/14,2:20,1101,0,,
2025/4/14,2:25,1099,0,,
2025/4/14,2:30,1116,0,,
2025/4/14,2:35,1127,0,,
2025/4/14,2:40,1129,0,,
2025/4/14,2:45,1127,0,,
2025/4/14,2:50,1136,0,,
2025/4/14,2:55,1152,0,,
2025/4/14,3:00,1150,0,,
2025/4/14,3:05,1164,0,,
2025/4/14,3:10,1170,0,,
2025/4/14,3:15,1179,0,,
2025/4/14,3:20,1193,0,,
2025/4/14,3:25,1191,0,,
2025/4/14,3:30,1193,0,,
2025/4/14,3:35,1194,0,,
2025/4/14,3:40,1197,0,,
2025/4/14,3:45,1200,0,,
2025/4/14,3:50,1208,0,,
2025/4/14,3:55,1212,0,,
2025/4/14,4:00,1207,0,,
2025/4/14,4:05,1215,0,,
2025/4/14,4:10,1207,0,,
2025/4/14,4:15,1207,0,,
2025/4/14,4:20,1206,0,,
2025/4/14,4:25,1218,0,,
2025/4/14,4:30,1219,0,,
2025/4/14,4:35,1225,0,,
2025/4/14,4:40,1226,0,,
2025/4/14,4:45,1233,0,,
2025/4/14,4:50,1233,0,,
2025/4/14,4:55,1234,0,,
2025/4/14,5:00,1228,0,,
2025/4/14,5:05,1241,0,,
2025/4/14,5:10,1243,0,,
2025/4/14,5:15,1248,0,,
2025/4/14,5:20,1231,0,,
2025/4/14,5:25,1237,0,,
2025/4/14,5:30,1241,0,,
2025/4/14,5:35,1245,0,,
2025/4/14,5:40,1245,0,,
2025/4/14,5:45,1239,0,,
2025/4/14,5:50,1230,1,,
2025/4/14,5:55,1234,3,,
2025/4/14,6:00,1233,6,,
2025/4/14,6:05,1244,11,,
2025/4/14,6:10,1254,19,,
2025/4/14,6:15,1266,34,,
2025/4/14,6:20,1273,43,,
2025/4/14,6:25,1272,50,,
2025/4/14,6:30,1270,58,,
2025/4/14,6:35,1291,67,,
2025/4/14,6:40,1300,77,,
2025/4/14,6:45,1307,86,,
2025/4/14,6:50,1304,97,,
2025/4/14,6:55,1309,108,,
2025/4/14,7:00,1312,120,,
2025/4/14,7:05,1323,133,,
2025/4/14,7:10,1342,146,,
2025/4/14,7:15,1346,159,,
2025/4/14,7:20,1352,172,,
2025/4/14,7:25,1356,185,,
2025/4/14,7:30,1361,199,,
2025/4/14,7:35,1368,213,,
2025/4/14,7:40,1381,228,,
2025/4/14,7:45,1389,243,,
2025/4/14,7:50,1388,257,,
2025/4/14,7:55,1395,272,,
2025/4/14,8:00,1415,287,,
2025/4/14,8:05,1435,301,,
2025/4/14,8:10,1444,317,,
2025/4/14,8:15,1457,332,,
2025/4/14,8:20,1467,346,,
2025/4/14,8:25,1476,359,,
2025/4/14,8:30,1492,372,,
2025/4/14,8:35,1498,385,,
2025/4/14,8:40,1509,398,,
2025/4/14,8:45,1512,411,,
2025/4/14,8:50,1534,422,,
2025/4/14,8:55,1542,434,,
2025/4/14,9:00,1556,445,,
2025/4/14,9:05,1568,455,,
2025/4/14,9:10,1574,464,,
2025/4/14,9:15,1581,473,,
2025/4/14,9:20,1592,481,,
2025/4/14,9:25,1592,487,,
2025/4/14,9:30,1589,494,,
2025/4/14,9:35,1603,500,,
2025/4/14,9:40,1621,507,,
2025/4/14,9:45,1622,512,,
2025/4/14,9:50,1615,520,,
2025/4/14,9:55,1606,528,,
2025/4/14,10:00,1610,534,,
2025/4/14,10:05,1621,541,,
2025/4/14,10:10,1611,547,,
2025/4/14,10:15,1614,553,,
2025/4/14,10:20,1615,558,,
2025/4/14,10:25,1597,563,,
2025/4/14,10:30,1595,570,,
2025/4/14,10:35,1592,575,,
2025/4/14,10:40,1601,579,,
2025/4/14,10:45,1599,582,,
2025/4/14,10:50,1598,586,,
2025/4/14,10:55,1595,591,,
2025/4/14,11:00,1590,595,,
2025/4/14,11:05,1595,598,,
2025/4/14,11:10,1594,600,,
2025/4/14,11:15,1599,601,,
2025/4/14,11:20,1591,604,,
2025/4/14,11:25,1585,606,,
2025/4/14,11:30,1582,605,,
2025/4/14,11:35,1589,605,,
2025/4/14,11:40,1587,601,,
2025/4/14,11:45,1579,598,,
2025/4/14,11:50,1578,597,,
2025/4/14,11:55,1566,594,,
2025/4/14,12:00,1557,591,,
2025/4/14,12:05,1537,589,,
2025/4/14,12:10,1512,589,,
2025/4/14,12:15,1495,590,,
2025/4/14,12:20,1478,591,,
2025/4/14,12:25,1461,597,,
2025/4/14,12:30,1452,598,,
2025/4/14,12:35,1442,600,,
2025/4/14,12:40,1444,598,,
2025/4/14,12:45,1459,596,,
2025/4/14,12:50,1474,588,,
2025/4/14,12:55,1480,579,,
2025/4/14,13:00,1496,573,,
2025/4/14,13:05,1508,569,,
2025/4/14,13:10,1524,557,,
2025/4/14,13:15,1553,549,,
2025/4/14,13:20,1560,530,,
2025/4/14,13:25,1568,511,,
2025/4/14,13:30,1556,510,,
2025/4/14,13:35,1543,515,,
2025/4/14,13:40,1550,508,,
2025/4/14,13:45,1540,502,,
2025/4/14,13:50,1534,496,,
2025/4/14,13:55,1534,497,,
2025/4/14,14:00,1532,483,,
2025/4/14,14:05,1529,470,,
2025/4/14,14:10,1533,460,,
2025/4/14,14:15,1543,451,,
2025/4/14,14:20,1552,438,,
2025/4/14,14:25,1547,429,,
2025/4/14,14:30,1538,421,,
2025/4/14,14:35,1545,412,,
2025/4/14,14:40,1540,401,,
2025/4/14,14:45,1541,394,,
2025/4/14,14:50,1543,392,,
2025/4/14,14:55,1532,377,,
2025/4/14,15:00,1527,370,,
2025/4/14,15:05,1541,353,,
2025/4/14,15:10,1526,339,,
2025/4/14,15:15,1526,326,,
2025/4/14,15:20,1539,312,,
2025/4/14,15:25,1547,294,,
2025/4/14,15:30,1550,272,,
2025/4/14,15:35,1558,256,,
2025/4/14,15:40,1573,239,,
2025/4/14,15:45,1561,226,,
2025/4/14,15:50,1572,210,,
2025/4/14,15:55,1575,190,,
