2016/7/13 17:03 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1144,19:00〜20:00,4/18,8:55,19,84
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
963,19:00〜20:00,4/18,8:55
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/4/18,0:00,652,688,57
2016/4/18,1:00,663,707,58
2016/4/18,2:00,719,760,63
2016/4/18,3:00,772,821,67
2016/4/18,4:00,800,854,70
2016/4/18,5:00,799,853,70
2016/4/18,6:00,812,859,71
2016/4/18,7:00,829,852,72
2016/4/18,8:00,845,873,74
2016/4/18,9:00,874,815,76
2016/4/18,10:00,881,830,77
2016/4/18,11:00,879,826,77
2016/4/18,12:00,828,812,72
2016/4/18,13:00,871,824,76
2016/4/18,14:00,873,815,76
2016/4/18,15:00,877,808,77
2016/4/18,16:00,887,818,78
2016/4/18,17:00,898,853,78
2016/4/18,18:00,933,908,82
2016/4/18,19:00,946,928,83
2016/4/18,20:00,905,901,79
2016/4/18,21:00,861,856,75
2016/4/18,22:00,819,820,72
2016/4/18,23:00,763,766,67
最大使用率(%),時間帯
83,19:00〜20:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1207,19:00〜20:00,4/19,8:55,28,78
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
946,19:00〜20:00,4/19,8:55
DATE,TIME,当日実績(５分間隔値）(万kW)
2016/4/18,0:00,668
2016/4/18,0:05,671
2016/4/18,0:10,671
2016/4/18,0:15,667
2016/4/18,0:20,656
2016/4/18,0:25,654
2016/4/18,0:30,648
2016/4/18,0:35,644
2016/4/18,0:40,640
2016/4/18,0:45,639
2016/4/18,0:50,631
2016/4/18,0:55,628
2016/4/18,1:00,648
2016/4/18,1:05,654
2016/4/18,1:10,647
2016/4/18,1:15,648
2016/4/18,1:20,658
2016/4/18,1:25,662
2016/4/18,1:30,666
2016/4/18,1:35,669
2016/4/18,1:40,662
2016/4/18,1:45,675
2016/4/18,1:50,682
2016/4/18,1:55,688
2016/4/18,2:00,703
2016/4/18,2:05,682
2016/4/18,2:10,704
2016/4/18,2:15,706
2016/4/18,2:20,715
2016/4/18,2:25,716
2016/4/18,2:30,720
2016/4/18,2:35,721
2016/4/18,2:40,729
2016/4/18,2:45,738
2016/4/18,2:50,749
2016/4/18,2:55,746
2016/4/18,3:00,757
2016/4/18,3:05,761
2016/4/18,3:10,763
2016/4/18,3:15,755
2016/4/18,3:20,766
2016/4/18,3:25,779
2016/4/18,3:30,778
2016/4/18,3:35,773
2016/4/18,3:40,784
2016/4/18,3:45,784
2016/4/18,3:50,779
2016/4/18,3:55,785
2016/4/18,4:00,791
2016/4/18,4:05,796
2016/4/18,4:10,793
2016/4/18,4:15,796
2016/4/18,4:20,806
2016/4/18,4:25,798
2016/4/18,4:30,802
2016/4/18,4:35,807
2016/4/18,4:40,803
2016/4/18,4:45,796
2016/4/18,4:50,812
2016/4/18,4:55,804
2016/4/18,5:00,806
2016/4/18,5:05,799
