2021/10/21 0:04 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1095,18:00〜19:00,10/20,9:00,13,88
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
965,18:00〜19:00,10/20,9:00
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1095,18:00〜19:00,10/20,9:00,13,88
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
965,18:00〜19:00,10/20,9:00
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力想定値(万kW)
2021/10/20,0:00,720,720,73,988
2021/10/20,1:00,697,697,71,986
2021/10/20,2:00,729,725,74,979
2021/10/20,3:00,788,786,77,1019
2021/10/20,4:00,838,836,81,1040
2021/10/20,5:00,854,852,81,1049
2021/10/20,6:00,843,843,80,1053
2021/10/20,7:00,834,833,77,1087
2021/10/20,8:00,843,837,75,1117
2021/10/20,9:00,869,880,72,1206
2021/10/20,10:00,884,905,71,1246
2021/10/20,11:00,890,918,75,1194
2021/10/20,12:00,851,881,75,1128
2021/10/20,13:00,879,922,73,1198
2021/10/20,14:00,912,916,78,1177
2021/10/20,15:00,906,917,75,1206
2021/10/20,16:00,926,938,81,1142
2021/10/20,17:00,946,942,86,1102
2021/10/20,18:00,963,961,88,1095
2021/10/20,19:00,932,916,86,1082
2021/10/20,20:00,891,873,83,1068
2021/10/20,21:00,849,834,80,1066
2021/10/20,22:00,818,806,77,1064
2021/10/20,23:00,781,769,78,998
最大使用率(%),時間帯
88,18:00〜19:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1113,18:00〜19:00,10/20,18:00,15,87
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
965,18:00〜19:00,10/20,18:00
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1113,18:00〜19:00,10/20,18:00,15,87
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
965,18:00〜19:00,10/20,18:00
DATE,TIME,当日実績(５分間隔値）(万kW),太陽光発電実績(５分間隔値）(万kW)
2021/10/20,0:00,750,0
2021/10/20,0:05,736,0
2021/10/20,0:10,740,0
2021/10/20,0:15,735,0
2021/10/20,0:20,734,0
2021/10/20,0:25,705,0
2021/10/20,0:30,705,0
2021/10/20,0:35,709,0
2021/10/20,0:40,709,0
2021/10/20,0:45,712,0
2021/10/20,0:50,698,0
2021/10/20,0:55,697,0
2021/10/20,1:00,701,0
2021/10/20,1:05,700,0
2021/10/20,1:10,689,0
2021/10/20,1:15,697,0
2021/10/20,1:20,687,0
2021/10/20,1:25,693,0
2021/10/20,1:30,693,0
2021/10/20,1:35,699,0
2021/10/20,1:40,695,0
2021/10/20,1:45,703,0
2021/10/20,1:50,707,0
2021/10/20,1:55,710,0
2021/10/20,2:00,706,0
2021/10/20,2:05,704,0
2021/10/20,2:10,708,0
2021/10/20,2:15,712,0
2021/10/20,2:20,720,0
2021/10/20,2:25,730,0
2021/10/20,2:30,727,0
2021/10/20,2:35,737,0
2021/10/20,2:40,746,0
2021/10/20,2:45,748,0
2021/10/20,2:50,745,0
2021/10/20,2:55,748,0
2021/10/20,3:00,765,0
2021/10/20,3:05,764,0
2021/10/20,3:10,769,0
2021/10/20,3:15,771,0
2021/10/20,3:20,783,0
2021/10/20,3:25,787,0
2021/10/20,3:30,795,0
2021/10/20,3:35,795,0
2021/10/20,3:40,802,0
2021/10/20,3:45,807,0
2021/10/20,3:50,813,0
2021/10/20,3:55,817,0
2021/10/20,4:00,823,0
2021/10/20,4:05,831,0
2021/10/20,4:10,833,0
2021/10/20,4:15,834,0
2021/10/20,4:20,843,0
2021/10/20,4:25,836,0
2021/10/20,4:30,832,0
2021/10/20,4:35,850,0
2021/10/20,4:40,853,0
2021/10/20,4:45,863,0
2021/10/20,4:50,842,0
2021/10/20,4:55,861,0
2021/10/20,5:00,853,0
2021/10/20,5:05,858,0
2021/10/20,5:10,856,0
2021/10/20,5:15,852,0
2021/10/20,5:20,860,0
2021/10/20,5:25,858,0
2021/10/20,5:30,851,0
2021/10/20,5:35,863,0
2021/10/20,5:40,855,0
2021/10/20,5:45,851,0
2021/10/20,5:50,848,0
2021/10/20,5:55,854,0
2021/10/20,6:00,837,0
2021/10/20,6:05,846,0
2021/10/20,6:10,856,0
2021/10/20,6:15,846,0
2021/10/20,6:20,851,0
2021/10/20,6:25,860,0
2021/10/20,6:30,837,1
2021/10/20,6:35,842,2
2021/10/20,6:40,850,6
2021/10/20,6:45,841,11
2021/10/20,6:50,846,18
2021/10/20,6:55,832,25
2021/10/20,7:00,840,42
2021/10/20,7:05,846,50
2021/10/20,7:10,847,63
2021/10/20,7:15,848,77
2021/10/20,7:20,840,87
2021/10/20,7:25,842,94
2021/10/20,7:30,829,93
2021/10/20,7:35,843,106
2021/10/20,7:40,822,114
2021/10/20,7:45,822,123
2021/10/20,7:50,831,134
2021/10/20,7:55,821,144
2021/10/20,8:00,839,158
2021/10/20,8:05,846,167
2021/10/20,8:10,832,181
2021/10/20,8:15,846,190
2021/10/20,8:20,857,209
2021/10/20,8:25,848,206
2021/10/20,8:30,841,214
2021/10/20,8:35,846,233
2021/10/20,8:40,846,243
2021/10/20,8:45,852,254
2021/10/20,8:50,876,257
2021/10/20,8:55,856,268
2021/10/20,9:00,862,279
2021/10/20,9:05,877,292
2021/10/20,9:10,874,305
2021/10/20,9:15,879,312
2021/10/20,9:20,871,325
2021/10/20,9:25,871,340
2021/10/20,9:30,866,350
2021/10/20,9:35,888,381
2021/10/20,9:40,867,363
2021/10/20,9:45,882,377
2021/10/20,9:50,867,383
2021/10/20,9:55,879,420
2021/10/20,10:00,874,432
2021/10/20,10:05,888,453
2021/10/20,10:10,871,456
2021/10/20,10:15,895,457
2021/10/20,10:20,878,438
2021/10/20,10:25,889,450
2021/10/20,10:30,881,440
2021/10/20,10:35,888,446
2021/10/20,10:40,898,469
2021/10/20,10:45,882,460
2021/10/20,10:50,896,485
2021/10/20,10:55,897,481
2021/10/20,11:00,878,476
2021/10/20,11:05,891,489
2021/10/20,11:10,902,507
2021/10/20,11:15,892,515
2021/10/20,11:20,886,511
2021/10/20,11:25,879,503
2021/10/20,11:30,899,534
2021/10/20,11:35,887,511
2021/10/20,11:40,900,521
2021/10/20,11:45,909,517
2021/10/20,11:50,889,501
2021/10/20,11:55,876,476
2021/10/20,12:00,893,486
2021/10/20,12:05,888,470
2021/10/20,12:10,881,456
2021/10/20,12:15,843,437
2021/10/20,12:20,848,424
2021/10/20,12:25,855,424
2021/10/20,12:30,847,437
2021/10/20,12:35,849,415
2021/10/20,12:40,853,416
2021/10/20,12:45,857,405
2021/10/20,12:50,849,386
2021/10/20,12:55,850,365
2021/10/20,13:00,869,361
2021/10/20,13:05,869,338
2021/10/20,13:10,880,344
2021/10/20,13:15,878,333
2021/10/20,13:20,874,333
2021/10/20,13:25,901,342
2021/10/20,13:30,899,331
2021/10/20,13:35,892,314
2021/10/20,13:40,889,306
2021/10/20,13:45,899,293
2021/10/20,13:50,896,282
2021/10/20,13:55,901,282
2021/10/20,14:00,904,275
2021/10/20,14:05,912,268
2021/10/20,14:10,910,256
