2022/3/25 0:09 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1215,6:00〜7:00,,,14,88
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1062,6:00〜7:00,,
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1046,2:00〜3:00,,,11,90
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
938,2:00〜3:00,,
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),予備率(%),供給力想定値(万kW)
2022/3/24,0:00,900,902,92,8,978
2022/3/24,1:00,903,902,92,8,983
2022/3/24,2:00,955,957,91,9,1046
2022/3/24,3:00,1000,1001,90,10,1111
2022/3/24,4:00,1026,1027,90,10,1143
2022/3/24,5:00,1044,1046,90,10,1163
2022/3/24,6:00,1075,1087,88,12,1215
2022/3/24,7:00,1054,1069,84,16,1254
2022/3/24,8:00,1036,1042,79,21,1309
2022/3/24,9:00,1025,1030,77,23,1323
2022/3/24,10:00,1016,1008,78,22,1298
2022/3/24,11:00,1034,992,75,25,1374
2022/3/24,12:00,991,955,69,31,1445
2022/3/24,13:00,989,979,70,30,1409
2022/3/24,14:00,942,957,72,28,1312
2022/3/24,15:00,904,934,76,24,1190
2022/3/24,16:00,925,920,83,17,1115
2022/3/24,17:00,953,956,82,18,1169
2022/3/24,18:00,1006,1018,85,15,1181
2022/3/24,19:00,1034,1038,86,14,1197
2022/3/24,20:00,1006,1023,86,14,1168
2022/3/24,21:00,967,986,85,15,1132
2022/3/24,22:00,930,944,84,16,1102
2022/3/24,23:00,885,900,82,18,1085
最大使用率(%),時間帯
92,1:00〜2:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
1116,6:00〜7:00,,,10,91
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
1014,6:00〜7:00,,
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
1116,6:00〜7:00,,,10,91
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
1014,6:00〜7:00,,
DATE,TIME,当日実績(５分間隔値）(万kW),太陽光発電実績(５分間隔値）(万kW)
2022/3/24,0:00,916,0
2022/3/24,0:05,923,0
2022/3/24,0:10,920,0
2022/3/24,0:15,920,0
2022/3/24,0:20,911,0
2022/3/24,0:25,907,0
2022/3/24,0:30,898,0
2022/3/24,0:35,896,0
2022/3/24,0:40,874,0
2022/3/24,0:45,883,0
2022/3/24,0:50,883,0
2022/3/24,0:55,888,0
2022/3/24,1:00,897,0
2022/3/24,1:05,884,0
2022/3/24,1:10,895,0
2022/3/24,1:15,896,0
2022/3/24,1:20,897,0
2022/3/24,1:25,894,0
2022/3/24,1:30,900,0
2022/3/24,1:35,914,0
2022/3/24,1:40,912,0
2022/3/24,1:45,913,0
2022/3/24,1:50,906,0
2022/3/24,1:55,922,0
2022/3/24,2:00,928,0
2022/3/24,2:05,944,0
2022/3/24,2:10,945,0
2022/3/24,2:15,952,0
2022/3/24,2:20,944,0
2022/3/24,2:25,964,0
2022/3/24,2:30,969,0
2022/3/24,2:35,973,0
2022/3/24,2:40,963,0
2022/3/24,2:45,973,0
2022/3/24,2:50,978,0
2022/3/24,2:55,986,0
2022/3/24,3:00,987,0
2022/3/24,3:05,986,0
2022/3/24,3:10,990,0
2022/3/24,3:15,993,0
2022/3/24,3:20,1000,0
2022/3/24,3:25,1001,0
2022/3/24,3:30,995,0
2022/3/24,3:35,1006,0
2022/3/24,3:40,1015,0
2022/3/24,3:45,1016,0
2022/3/24,3:50,1003,0
2022/3/24,3:55,1014,0
2022/3/24,4:00,1010,0
2022/3/24,4:05,1030,0
2022/3/24,4:10,1027,0
2022/3/24,4:15,1027,0
