2016/04/01 00:10 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
147,19:00〜20:00,03月31日,00:00,61,61
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
91,19:00〜20:00,03月31日,00:00
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%)
2016/03/31,00:00,64,64,43
2016/03/31,01:00,62,63,42
2016/03/31,02:00,64,64,43
2016/03/31,03:00,66,67,44
2016/03/31,04:00,65,67,44
2016/03/31,05:00,63,65,42
2016/03/31,06:00,64,67,43
2016/03/31,07:00,69,74,46
2016/03/31,08:00,74,82,50
2016/03/31,09:00,75,84,51
2016/03/31,10:00,75,85,51
2016/03/31,11:00,72,82,48
2016/03/31,12:00,70,81,47
2016/03/31,13:00,74,83,50
2016/03/31,14:00,74,85,50
2016/03/31,15:00,76,84,51
2016/03/31,16:00,83,86,56
2016/03/31,17:00,85,88,57
2016/03/31,18:00,87,90,59
2016/03/31,19:00,89,91,60
2016/03/31,20:00,86,88,58
2016/03/31,21:00,82,83,55
2016/03/31,22:00,76,76,51
2016/03/31,23:00,70,70,47
最大使用率(%),時間帯
60,19:00〜20:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
145,19:00〜20:00,04月01日,00:00,61,62
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
90,19:00〜20:00,04月01日,00:00
DATE,TIME,当日実績(5分間隔値)(万kW)
2016/03/31,00:00,64
2016/03/31,00:05,67
2016/03/31,00:10,67
2016/03/31,00:15,66
2016/03/31,00:20,66
2016/03/31,00:25,65
2016/03/31,00:30,65
2016/03/31,00:35,65
2016/03/31,00:40,64
2016/03/31,00:45,64
2016/03/31,00:50,64
2016/03/31,00:55,64
2016/03/31,01:00,64
2016/03/31,01:05,64
2016/03/31,01:10,63
2016/03/31,01:15,63
2016/03/31,01:20,63
2016/03/31,01:25,63
2016/03/31,01:30,63
2016/03/31,01:35,63
2016/03/31,01:40,63
2016/03/31,01:45,63
2016/03/31,01:50,63
2016/03/31,01:55,63
2016/03/31,02:00,63
2016/03/31,02:05,64
2016/03/31,02:10,64
2016/03/31,02:15,64
2016/03/31,02:20,64
2016/03/31,02:25,64
2016/03/31,02:30,65
2016/03/31,02:35,65
2016/03/31,02:40,66
2016/03/31,02:45,66
2016/03/31,02:50,66
2016/03/31,02:55,66
2016/03/31,03:00,66
2016/03/31,03:05,66
2016/03/31,03:10,67
2016/03/31,03:15,67
2016/03/31,03:20,67
2016/03/31,03:25,67
2016/03/31,03:30,67
2016/03/31,03:35,67
2016/03/31,03:40,67
2016/03/31,03:45,67
2016/03/31,03:50,67
2016/03/31,03:55,67
2016/03/31,04:00,67
2016/03/31,04:05,67
2016/03/31,04:10,67
2016/03/31,04:15,67
2016/03/31,04:20,67
2016/03/31,04:25,66
2016/03/31,04:30,66
2016/03/31,04:35,66
2016/03/31,04:40,66
2016/03/31,04:45,66
2016/03/31,04:50,66
2016/03/31,04:55,65
2016/03/31,05:00,65
2016/03/31,05:05,65
2016/03/31,05:10,65
2016/03/31,05:15,65
2016/03/31,05:20,64
2016/03/31,05:25,64
2016/03/31,05:30,64
2016/03/31,05:35,64
2016/03/31,05:40,63
2016/03/31,05:45,63
2016/03/31,05:50,63
2016/03/31,05:55,63
2016/03/31,06:00,63
2016/03/31,06:05,63
2016/03/31,06:10,63
2016/03/31,06:15,64
2016/03/31,06:20,64
2016/03/31,06:25,64
2016/03/31,06:30,64
2016/03/31,06:35,65
2016/03/31,06:40,65
2016/03/31,06:45,65
2016/03/31,06:50,65
2016/03/31,06:55,66
2016/03/31,07:00,66
2016/03/31,07:05,68
2016/03/31,07:10,68
2016/03/31,07:15,68
2016/03/31,07:20,69
2016/03/31,07:25,69
2016/03/31,07:30,69
2016/03/31,07:35,71
2016/03/31,07:40,71
2016/03/31,07:45,71
2016/03/31,07:50,71
2016/03/31,07:55,71
2016/03/31,08:00,72
2016/03/31,08:05,74
2016/03/31,08:10,74
2016/03/31,08:15,74
2016/03/31,08:20,74
2016/03/31,08:25,74
2016/03/31,08:30,74
2016/03/31,08:35,76
2016/03/31,08:40,76
2016/03/31,08:45,76
2016/03/31,08:50,76
2016/03/31,08:55,76
2016/03/31,09:00,76
2016/03/31,09:05,77
2016/03/31,09:10,77
2016/03/31,09:15,76
2016/03/31,09:20,76
2016/03/31,09:25,76
2016/03/31,09:30,76
2016/03/31,09:35,76
2016/03/31,09:40,76
2016/03/31,09:45,76
2016/03/31,09:50,76
2016/03/31,09:55,76
2016/03/31,10:00,76
2016/03/31,10:05,76
2016/03/31,10:10,76
2016/03/31,10:15,77
2016/03/31,10:20,77
2016/03/31,10:25,77
2016/03/31,10:30,77
2016/03/31,10:35,77
2016/03/31,10:40,77
2016/03/31,10:45,76
2016/03/31,10:50,76
2016/03/31,10:55,76
2016/03/31,11:00,76
2016/03/31,11:05,74
2016/03/31,11:10,74
2016/03/31,11:15,74
2016/03/31,11:20,74
2016/03/31,11:25,74
2016/03/31,11:30,74
2016/03/31,11:35,73
2016/03/31,11:40,73
2016/03/31,11:45,73
2016/03/31,11:50,73
2016/03/31,11:55,73
2016/03/31,12:00,72
2016/03/31,12:05,72
2016/03/31,12:10,71
2016/03/31,12:15,70
2016/03/31,12:20,71
2016/03/31,12:25,71
2016/03/31,12:30,71
2016/03/31,12:35,71
2016/03/31,12:40,72
2016/03/31,12:45,72
2016/03/31,12:50,72
2016/03/31,12:55,72
2016/03/31,13:00,72
2016/03/31,13:05,74
2016/03/31,13:10,75
2016/03/31,13:15,75
2016/03/31,13:20,76
2016/03/31,13:25,77
2016/03/31,13:30,76
2016/03/31,13:35,75
2016/03/31,13:40,75
2016/03/31,13:45,75
2016/03/31,13:50,75
2016/03/31,13:55,75
2016/03/31,14:00,75
2016/03/31,14:05,75
2016/03/31,14:10,74
2016/03/31,14:15,74
2016/03/31,14:20,75
2016/03/31,14:25,75
2016/03/31,14:30,74
2016/03/31,14:35,74
2016/03/31,14:40,74
2016/03/31,14:45,75
2016/03/31,14:50,75
2016/03/31,14:55,75
2016/03/31,15:00,75
2016/03/31,15:05,74
2016/03/31,15:10,75
2016/03/31,15:15,75
2016/03/31,15:20,75
2016/03/31,15:25,76
2016/03/31,15:30,77
2016/03/31,15:35,77
2016/03/31,15:40,78
2016/03/31,15:45,79
2016/03/31,15:50,79
2016/03/31,15:55,80
2016/03/31,16:00,81
2016/03/31,16:05,82
2016/03/31,16:10,83
2016/03/31,16:15,84
2016/03/31,16:20,85
2016/03/31,16:25,85
2016/03/31,16:30,85
2016/03/31,16:35,84
2016/03/31,16:40,84
2016/03/31,16:45,84
2016/03/31,16:50,84
2016/03/31,16:55,85
2016/03/31,17:00,85
2016/03/31,17:05,85
2016/03/31,17:10,85
2016/03/31,17:15,85
2016/03/31,17:20,85
2016/03/31,17:25,85
2016/03/31,17:30,85
2016/03/31,17:35,85
2016/03/31,17:40,85
2016/03/31,17:45,86
2016/03/31,17:50,86
2016/03/31,17:55,87
2016/03/31,18:00,87
2016/03/31,18:05,86
2016/03/31,18:10,86
2016/03/31,18:15,86
2016/03/31,18:20,87
2016/03/31,18:25,87
2016/03/31,18:30,88
2016/03/31,18:35,88
2016/03/31,18:40,88
2016/03/31,18:45,89
2016/03/31,18:50,89
2016/03/31,18:55,90
2016/03/31,19:00,90
2016/03/31,19:05,90
2016/03/31,19:10,90
2016/03/31,19:15,90
2016/03/31,19:20,90
2016/03/31,19:25,90
2016/03/31,19:30,90
2016/03/31,19:35,89
2016/03/31,19:40,89
2016/03/31,19:45,89
2016/03/31,19:50,89
2016/03/31,19:55,89
2016/03/31,20:00,89
2016/03/31,20:05,88
2016/03/31,20:10,88
2016/03/31,20:15,88
2016/03/31,20:20,87
2016/03/31,20:25,87
2016/03/31,20:30,87
2016/03/31,20:35,87
2016/03/31,20:40,87
2016/03/31,20:45,86
2016/03/31,20:50,86
2016/03/31,20:55,86
2016/03/31,21:00,85
2016/03/31,21:05,85
2016/03/31,21:10,84
2016/03/31,21:15,84
2016/03/31,21:20,84
2016/03/31,21:25,84
2016/03/31,21:30,83
2016/03/31,21:35,83
2016/03/31,21:40,82
2016/03/31,21:45,82
2016/03/31,21:50,82
2016/03/31,21:55,81
2016/03/31,22:00,81
2016/03/31,22:05,80
2016/03/31,22:10,79
2016/03/31,22:15,79
2016/03/31,22:20,78
2016/03/31,22:25,78
2016/03/31,22:30,77
2016/03/31,22:35,76
2016/03/31,22:40,76
2016/03/31,22:45,75
2016/03/31,22:50,75
2016/03/31,22:55,74
2016/03/31,23:00,74
2016/03/31,23:05,74
2016/03/31,23:10,73
2016/03/31,23:15,73
2016/03/31,23:20,72
2016/03/31,23:25,72
2016/03/31,23:30,71
2016/03/31,23:35,71
2016/03/31,23:40,70
2016/03/31,23:45,70
2016/03/31,23:50,69
2016/03/31,23:55,69
