2023/03/13 00:13 UPDATE,,,,,
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
134,19:00〜20:00,3月12日,22:41,56,64
,,,,,
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻,,
86,19:00〜20:00,3月12日,22:41,,
,,,,,
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
120,15:00〜16:00,3月12日,22:41,50,66
,,,,,
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻,,
80,15:00〜16:00,3月12日,22:41,,
,,,,,
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2023/3/12,0:00,67,67,54,122
2023/3/12,1:00,64,65,52,121
2023/3/12,2:00,65,66,53,121
2023/3/12,3:00,69,69,57,121
2023/3/12,4:00,69,69,57,121
2023/3/12,5:00,66,67,57,115
2023/3/12,6:00,63,65,57,109
2023/3/12,7:00,66,67,60,109
2023/3/12,8:00,72,72,64,112
2023/3/12,9:00,77,77,65,117
2023/3/12,10:00,78,79,64,121
2023/3/12,11:00,75,78,59,126
2023/3/12,12:00,81,79,62,129
2023/3/12,13:00,83,80,64,129
2023/3/12,14:00,80,81,64,125
2023/3/12,15:00,79,80,65,121
2023/3/12,16:00,81,80,61,132
2023/3/12,17:00,80,81,57,139
2023/3/12,18:00,82,83,60,135
2023/3/12,19:00,84,86,62,134
2023/3/12,20:00,82,84,61,134
2023/3/12,21:00,77,79,59,129
2023/3/12,22:00,74,74,60,123
2023/3/12,23:00,69,70,59,116
,,,,,
最大使用率(%),時間帯,,,,
65,15:00〜16:00,,,,
,,,,,
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
140,18:00〜19:00,3月13日,0:00,63,61
,,,,,
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻,,
86,18:00〜19:00,3月13日,0:00,,
,,,,,
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
126,17:00〜18:00,3月13日,0:00,48,67
,,,,,
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻,,
85,17:00〜18:00,3月13日,0:00,,
,,,,,
DATE,TIME,当日実績(5分間隔値)(万kW),太陽光発電実績(5分間値)(万kW),,
2023/3/12,0:00,71,0,,
2023/3/12,0:05,70,0,,
2023/3/12,0:10,69,0,,
2023/3/12,0:15,69,0,,
2023/3/12,0:20,69,0,,
2023/3/12,0:25,69,0,,
2023/3/12,0:30,68,0,,
2023/3/12,0:35,65,0,,
2023/3/12,0:40,65,0,,
2023/3/12,0:45,66,0,,
2023/3/12,0:50,67,0,,
2023/3/12,0:55,67,0,,
2023/3/12,1:00,67,0,,
2023/3/12,1:05,65,0,,
2023/3/12,1:10,66,0,,
2023/3/12,1:15,67,0,,
2023/3/12,1:20,66,0,,
2023/3/12,1:25,64,0,,
2023/3/12,1:30,63,0,,
2023/3/12,1:35,64,0,,
2023/3/12,1:40,65,0,,
2023/3/12,1:45,66,0,,
2023/3/12,1:50,66,0,,
2023/3/12,1:55,64,0,,
2023/3/12,2:00,65,0,,
2023/3/12,2:05,66,0,,
2023/3/12,2:10,66,0,,
2023/3/12,2:15,66,0,,
2023/3/12,2:20,64,0,,
2023/3/12,2:25,64,0,,
2023/3/12,2:30,64,0,,
2023/3/12,2:35,65,0,,
2023/3/12,2:40,68,0,,
2023/3/12,2:45,68,0,,
2023/3/12,2:50,68,0,,
2023/3/12,2:55,68,0,,
2023/3/12,3:00,67,0,,
2023/3/12,3:05,69,0,,
2023/3/12,3:10,69,0,,
2023/3/12,3:15,70,0,,
2023/3/12,3:20,69,0,,
2023/3/12,3:25,67,0,,
2023/3/12,3:30,68,0,,
2023/3/12,3:35,70,0,,
2023/3/12,3:40,70,0,,
2023/3/12,3:45,70,0,,
2023/3/12,3:50,71,0,,
2023/3/12,3:55,70,0,,
2023/3/12,4:00,71,0,,
2023/3/12,4:05,71,0,,
2023/3/12,4:10,71,0,,
2023/3/12,4:15,69,0,,
2023/3/12,4:20,68,0,,
2023/3/12,4:25,68,0,,
2023/3/12,4:30,70,0,,
2023/3/12,4:35,70,0,,
2023/3/12,4:40,71,0,,
2023/3/12,4:45,70,0,,
2023/3/12,4:50,69,0,,
2023/3/12,4:55,71,0,,
2023/3/12,5:00,70,0,,
2023/3/12,5:05,70,0,,
2023/3/12,5:10,68,0,,
2023/3/12,5:15,66,0,,
2023/3/12,5:20,67,0,,
2023/3/12,5:25,68,0,,
