2024/05/16 00:13 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
160,13:00〜14:00,05月15日,22:41,54,65
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
104,13:00〜14:00,05月15日,22:41
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
133,19:00〜20:00,05月15日,22:41,34,74
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
99,19:00〜20:00,05月15日,22:41
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2024/05/15,00:00,69,70,51,133
2024/05/15,01:00,66,68,49,133
2024/05/15,02:00,67,68,50,133
2024/05/15,03:00,70,71,52,133
2024/05/15,04:00,71,72,53,133
2024/05/15,05:00,72,73,54,133
2024/05/15,06:00,73,75,54,133
2024/05/15,07:00,79,80,57,138
2024/05/15,08:00,87,86,60,145
2024/05/15,09:00,94,92,61,152
2024/05/15,10:00,97,95,61,157
2024/05/15,11:00,101,98,63,159
2024/05/15,12:00,101,102,62,161
2024/05/15,13:00,101,104,62,161
2024/05/15,14:00,105,104,65,160
2024/05/15,15:00,103,101,66,155
2024/05/15,16:00,101,96,67,149
2024/05/15,17:00,98,95,68,143
2024/05/15,18:00,96,99,70,136
2024/05/15,19:00,96,99,72,133
2024/05/15,20:00,95,97,71,133
2024/05/15,21:00,89,91,66,133
2024/05/15,22:00,84,85,63,133
2024/05/15,23:00,79,80,59,133
最大使用率(%),時間帯
72,19:00〜20:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
161,11:00〜12:00,05月16日,00:00,44,69
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
112,11:00〜12:00,05月16日,00:00
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
134,19:00〜20:00,05月16日,00:00,38,72
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
