2017/01/05 00:00 UPDATE
DATE,TIME,実績(万kW)
2016/04/01,0:00,249
2016/04/01,1:00,261
2016/04/01,2:00,287
2016/04/01,3:00,301
2016/04/01,4:00,299
2016/04/01,5:00,282
2016/04/01,6:00,266
2016/04/01,7:00,268
2016/04/01,8:00,308
2016/04/01,9:00,329
2016/04/01,10:00,335
2016/04/01,11:00,331
2016/04/01,12:00,310
2016/04/01,13:00,325
2016/04/01,14:00,326
2016/04/01,15:00,320
2016/04/01,16:00,317
2016/04/01,17:00,315
2016/04/01,18:00,321
2016/04/01,19:00,316
2016/04/01,20:00,303
2016/04/01,21:00,285
2016/04/01,22:00,266
2016/04/01,23:00,257
2016/04/02,0:00,257
2016/04/02,1:00,261
2016/04/02,2:00,287
2016/04/02,3:00,302
2016/04/02,4:00,301
2016/04/02,5:00,283
2016/04/02,6:00,261
2016/04/02,7:00,243
2016/04/02,8:00,274
2016/04/02,9:00,302
2016/04/02,10:00,308
2016/04/02,11:00,311
2016/04/02,12:00,302
2016/04/02,13:00,298
2016/04/02,14:00,289
2016/04/02,15:00,287
2016/04/02,16:00,290
2016/04/02,17:00,279
2016/04/02,18:00,293
2016/04/02,19:00,294
2016/04/02,20:00,282
2016/04/02,21:00,268
2016/04/02,22:00,244
2016/04/02,23:00,235
2016/04/03,0:00,228
2016/04/03,1:00,237
2016/04/03,2:00,262
2016/04/03,3:00,281
2016/04/03,4:00,278
2016/04/03,5:00,256
2016/04/03,6:00,228
2016/04/03,7:00,218
2016/04/03,8:00,227
2016/04/03,9:00,231
2016/04/03,10:00,239
2016/04/03,11:00,239
2016/04/03,12:00,239
2016/04/03,13:00,241
2016/04/03,14:00,242
2016/04/03,15:00,249
2016/04/03,16:00,258
2016/04/03,17:00,274
2016/04/03,18:00,291
2016/04/03,19:00,286
2016/04/03,20:00,274
2016/04/03,21:00,259
2016/04/03,22:00,239
2016/04/03,23:00,229
2016/04/04,0:00,226
2016/04/04,1:00,240
2016/04/04,2:00,263
2016/04/04,3:00,281
2016/04/04,4:00,281
2016/04/04,5:00,267
2016/04/04,6:00,253
2016/04/04,7:00,259
2016/04/04,8:00,297
2016/04/04,9:00,315
2016/04/04,10:00,306
2016/04/04,11:00,312
2016/04/04,12:00,294
2016/04/04,13:00,309
2016/04/04,14:00,316
2016/04/04,15:00,315
2016/04/04,16:00,315
2016/04/04,17:00,309
2016/04/04,18:00,311
2016/04/04,19:00,303
2016/04/04,20:00,286
2016/04/04,21:00,269
2016/04/04,22:00,250
2016/04/04,23:00,238
2016/04/05,0:00,240
2016/04/05,1:00,251
2016/04/05,2:00,277
2016/04/05,3:00,295
2016/04/05,4:00,298
2016/04/05,5:00,284
2016/04/05,6:00,271
2016/04/05,7:00,266
2016/04/05,8:00,293
2016/04/05,9:00,306
2016/04/05,10:00,317
2016/04/05,11:00,323
2016/04/05,12:00,307
2016/04/05,13:00,327
2016/04/05,14:00,323
2016/04/05,15:00,313
2016/04/05,16:00,311
2016/04/05,17:00,306
2016/04/05,18:00,316
2016/04/05,19:00,316
2016/04/05,20:00,300
2016/04/05,21:00,285
2016/04/05,22:00,281
2016/04/05,23:00,273
2016/04/06,0:00,268
2016/04/06,1:00,276
2016/04/06,2:00,300
2016/04/06,3:00,322
2016/04/06,4:00,324
2016/04/06,5:00,309
2016/04/06,6:00,293
2016/04/06,7:00,282
2016/04/06,8:00,309
2016/04/06,9:00,324
2016/04/06,10:00,328
2016/04/06,11:00,334
2016/04/06,12:00,311
2016/04/06,13:00,334
2016/04/06,14:00,331
2016/04/06,15:00,322
2016/04/06,16:00,326
2016/04/06,17:00,320
2016/04/06,18:00,327
2016/04/06,19:00,320
2016/04/06,20:00,303
2016/04/06,21:00,285
2016/04/06,22:00,270
2016/04/06,23:00,262
2016/04/07,0:00,256
2016/04/07,1:00,265
2016/04/07,2:00,291
2016/04/07,3:00,308
2016/04/07,4:00,310
2016/04/07,5:00,296
2016/04/07,6:00,277
