2020/01/06 00:00 UPDATE
DATE,TIME,実績(万kW),供給力想定値(万kW)
2019/01/01,0:00,324,
2019/01/01,1:00,328,
2019/01/01,2:00,336,
2019/01/01,3:00,335,
2019/01/01,4:00,327,
2019/01/01,5:00,306,
2019/01/01,6:00,287,
2019/01/01,7:00,289,
2019/01/01,8:00,296,
2019/01/01,9:00,272,
2019/01/01,10:00,255,
2019/01/01,11:00,245,
2019/01/01,12:00,245,
2019/01/01,13:00,243,
2019/01/01,14:00,240,
2019/01/01,15:00,252,
2019/01/01,16:00,271,
2019/01/01,17:00,298,
2019/01/01,18:00,307,
2019/01/01,19:00,304,
2019/01/01,20:00,301,
2019/01/01,21:00,294,
2019/01/01,22:00,278,
2019/01/01,23:00,272,
2019/01/02,0:00,268,
2019/01/02,1:00,275,
2019/01/02,2:00,294,
2019/01/02,3:00,304,
2019/01/02,4:00,301,
2019/01/02,5:00,288,
2019/01/02,6:00,269,
2019/01/02,7:00,271,
2019/01/02,8:00,284,
2019/01/02,9:00,273,
2019/01/02,10:00,264,
2019/01/02,11:00,256,
2019/01/02,12:00,250,
2019/01/02,13:00,244,
2019/01/02,14:00,242,
2019/01/02,15:00,250,
2019/01/02,16:00,272,
2019/01/02,17:00,306,
2019/01/02,18:00,321,
2019/01/02,19:00,320,
2019/01/02,20:00,318,
2019/01/02,21:00,309,
2019/01/02,22:00,292,
2019/01/02,23:00,288,
2019/01/03,0:00,287,
2019/01/03,1:00,295,
2019/01/03,2:00,312,
2019/01/03,3:00,316,
2019/01/03,4:00,310,
2019/01/03,5:00,293,
2019/01/03,6:00,278,
2019/01/03,7:00,285,
2019/01/03,8:00,299,
2019/01/03,9:00,282,
2019/01/03,10:00,267,
2019/01/03,11:00,258,
2019/01/03,12:00,250,
2019/01/03,13:00,245,
2019/01/03,14:00,244,
2019/01/03,15:00,252,
2019/01/03,16:00,275,
2019/01/03,17:00,310,
2019/01/03,18:00,327,
2019/01/03,19:00,326,
2019/01/03,20:00,322,
2019/01/03,21:00,313,
2019/01/03,22:00,294,
2019/01/03,23:00,289,
2019/01/04,0:00,287,
2019/01/04,1:00,297,
2019/01/04,2:00,314,
2019/01/04,3:00,318,
2019/01/04,4:00,314,
2019/01/04,5:00,306,
2019/01/04,6:00,312,
2019/01/04,7:00,330,
2019/01/04,8:00,349,
2019/01/04,9:00,329,
2019/01/04,10:00,310,
2019/01/04,11:00,298,
2019/01/04,12:00,285,
2019/01/04,13:00,292,
2019/01/04,14:00,306,
2019/01/04,15:00,301,
2019/01/04,16:00,320,
2019/01/04,17:00,345,
2019/01/04,18:00,350,
2019/01/04,19:00,341,
2019/01/04,20:00,328,
2019/01/04,21:00,310,
2019/01/04,22:00,286,
2019/01/04,23:00,275,
2019/01/05,0:00,265,
2019/01/05,1:00,272,
2019/01/05,2:00,291,
2019/01/05,3:00,302,
2019/01/05,4:00,301,
2019/01/05,5:00,289,
