2024/3/8 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
5491,9:00〜10:00,3/8,23:50,15,87

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
4787,9:00〜10:00,3/8,23:50

使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
4195,6:00〜7:00,3/8,23:50,12,89

使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
3748,6:00〜7:00,3/8,23:50

DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2024/3/8,0:00,3032,3052,85,3550
2024/3/8,1:00,2928,2935,83,3519
2024/3/8,2:00,2924,2885,84,3465
2024/3/8,3:00,2954,2904,85,3460
2024/3/8,4:00,3031,2983,86,3517
2024/3/8,5:00,3252,3235,88,3683
2024/3/8,6:00,3699,3748,88,4195
2024/3/8,7:00,4117,4178,87,4716
2024/3/8,8:00,4580,4668,86,5287
2024/3/8,9:00,4789,4787,87,5491
2024/3/8,10:00,4653,4699,86,5403
2024/3/8,11:00,4461,4604,84,5277
2024/3/8,12:00,4138,4346,83,4984
2024/3/8,13:00,4110,4303,82,4974
2024/3/8,14:00,3966,4103,82,4811
2024/3/8,15:00,3909,4066,81,4792
2024/3/8,16:00,3967,4072,80,4940
2024/3/8,17:00,4020,4138,81,4955
2024/3/8,18:00,4095,4124,83,4893
2024/3/8,19:00,4008,4004,81,4928
2024/3/8,20:00,3881,3913,77,5002
2024/3/8,21:00,3710,3724,76,4874
2024/3/8,22:00,3526,3510,76,4635
2024/3/8,23:00,3320,3300,74,4482

最大使用率(%),時間帯
88,5:00〜6:00

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4399,18:00〜19:00,3/9,23:40,20,83

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3670,18:00〜19:00,3/9,23:40

翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
3371,1:00〜2:00,3/9,23:40,15,86

翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
2922,1:00〜2:00,3/9,23:40

DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2024/3/8,0:00,3155,0,0
2024/3/8,0:05,3120,0,0
2024/3/8,0:10,3122,0,0
2024/3/8,0:15,3091,0,0
2024/3/8,0:20,3067,0,0
2024/3/8,0:25,3046,0,0
2024/3/8,0:30,3017,0,0
2024/3/8,0:35,3016,0,0
2024/3/8,0:40,2990,0,0
2024/3/8,0:45,2967,0,0
2024/3/8,0:50,2953,0,0
2024/3/8,0:55,2946,0,0
2024/3/8,1:00,2932,0,0
2024/3/8,1:05,2949,0,0
2024/3/8,1:10,2930,0,0
2024/3/8,1:15,2938,0,0
2024/3/8,1:20,2926,0,0
2024/3/8,1:25,2923,0,0
2024/3/8,1:30,2922,0,0
2024/3/8,1:35,2923,0,0
2024/3/8,1:40,2921,0,0
2024/3/8,1:45,2911,0,0
2024/3/8,1:50,2913,0,0
2024/3/8,1:55,2922,0,0
2024/3/8,2:00,2912,0,0
2024/3/8,2:05,2927,0,0
2024/3/8,2:10,2922,0,0
2024/3/8,2:15,2906,0,0
2024/3/8,2:20,2915,0,0
2024/3/8,2:25,2917,0,0
2024/3/8,2:30,2915,0,0
2024/3/8,2:35,2920,0,0
2024/3/8,2:40,2928,0,0
2024/3/8,2:45,2940,0,0
2024/3/8,2:50,2923,0,0
2024/3/8,2:55,2935,0,0
2024/3/8,3:00,2934,0,0
2024/3/8,3:05,2944,0,0
2024/3/8,3:10,2945,0,0
2024/3/8,3:15,2949,0,0
2024/3/8,3:20,2955,0,0
2024/3/8,3:25,2948,0,0
2024/3/8,3:30,2942,0,0
2024/3/8,3:35,2954,0,0
2024/3/8,3:40,2953,0,0
2024/3/8,3:45,2956,0,0
2024/3/8,3:50,2959,0,0
2024/3/8,3:55,2965,0,0
2024/3/8,4:00,2969,0,0
2024/3/8,4:05,2972,0,0
2024/3/8,4:10,2990,0,0
2024/3/8,4:15,3012,0,0
2024/3/8,4:20,3010,0,0
2024/3/8,4:25,3012,0,0
2024/3/8,4:30,3044,0,0
2024/3/8,4:35,3032,0,0
2024/3/8,4:40,3050,0,0
2024/3/8,4:45,3073,0,0
2024/3/8,4:50,3067,0,0
2024/3/8,4:55,3096,0,0
2024/3/8,5:00,3099,0,0
2024/3/8,5:05,3141,0,0
2024/3/8,5:10,3173,0,0
2024/3/8,5:15,3179,0,0
2024/3/8,5:20,3189,0,0
2024/3/8,5:25,3222,0,0
2024/3/8,5:30,3236,0,0
2024/3/8,5:35,3266,0,0
2024/3/8,5:40,3293,0,0
2024/3/8,5:45,3313,0,0
2024/3/8,5:50,3343,0,0
2024/3/8,5:55,3373,0,0
2024/3/8,6:00,3419,0,0
2024/3/8,6:05,3480,0,0
2024/3/8,6:10,3538,0,0
2024/3/8,6:15,3578,1,0
2024/3/8,6:20,3620,3,0
2024/3/8,6:25,3664,6,0
2024/3/8,6:30,3690,11,0
2024/3/8,6:35,3758,15,0
2024/3/8,6:40,3798,17,0
2024/3/8,6:45,3813,13,0
2024/3/8,6:50,3840,17,0
2024/3/8,6:55,3881,20,0
2024/3/8,7:00,3909,25,0
2024/3/8,7:05,3971,32,0
2024/3/8,7:10,3999,39,0
2024/3/8,7:15,4021,42,1
2024/3/8,7:20,4044,50,1
2024/3/8,7:25,4086,55,1
2024/3/8,7:30,4110,61,1
2024/3/8,7:35,4148,70,1
2024/3/8,7:40,4178,81,1
2024/3/8,7:45,4226,93,2
2024/3/8,7:50,4237,104,2
2024/3/8,7:55,4284,118,2
2024/3/8,8:00,4313,131,3
2024/3/8,8:05,4394,143,3
2024/3/8,8:10,4439,158,3
2024/3/8,8:15,4483,176,3
2024/3/8,8:20,4506,189,4
2024/3/8,8:25,4537,205,4
2024/3/8,8:30,4589,220,4
2024/3/8,8:35,4628,238,5
