2024/9/21 23:55 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4859,11:00〜12:00,9/21,23:50,18,84
予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
4106,11:00〜12:00,9/21,23:50
使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
4144,8:00〜9:00,9/21,23:50,15,86
使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
3594,8:00〜9:00,9/21,23:50
DATE,TIME,当日実績(万kW),予測値(万kW),使用率(%),供給力(万kW)
2024/9/21,0:00,3161,3160,84,3726
2024/9/21,1:00,2943,2947,81,3632
2024/9/21,2:00,2819,2821,79,3531
2024/9/21,3:00,2777,2773,79,3513
2024/9/21,4:00,2767,2748,79,3490
2024/9/21,5:00,2769,2750,78,3538
2024/9/21,6:00,2835,2876,77,3640
2024/9/21,7:00,3083,3177,80,3831
2024/9/21,8:00,3437,3594,82,4144
2024/9/21,9:00,3795,3864,84,4470
2024/9/21,10:00,3891,4021,82,4706
2024/9/21,11:00,3878,4106,79,4859
2024/9/21,12:00,3923,4042,80,4885
2024/9/21,13:00,3895,3946,79,4898
2024/9/21,14:00,3838,3916,78,4917
2024/9/21,15:00,3786,3832,78,4845
2024/9/21,16:00,3730,3780,77,4797
2024/9/21,17:00,3696,3747,78,4738
2024/9/21,18:00,3645,3698,76,4749
2024/9/21,19:00,3492,3560,73,4723
2024/9/21,20:00,3324,3374,71,4644
2024/9/21,21:00,3126,3170,69,4528
2024/9/21,22:00,2975,3008,69,4285
2024/9/21,23:00,2816,2833,66,4246
最大使用率(%),時間帯
84,9:00〜10:00
翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,ピーク時予備率(%),ピーク時使用率(%)
4651,18:00〜19:00,9/22,23:50,39,71
翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3338,18:00〜19:00,9/22,23:50
翌日の使用率ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,使用率ピーク時予備率(%),使用率ピーク時使用率(%)
3810,10:00〜11:00,9/22,23:50,19,83
翌日の使用率ピーク時予想電力(万kW),時間帯,予想電力情報更新日,予想電力情報更新時刻
3198,10:00〜11:00,9/22,23:50
DATE,TIME,当日実績(５分間隔値)(万kW),太陽光発電実績(５分間隔値)(万kW),太陽光発電量(電力使用量に対する割合)(%)
2024/9/21,0:00,3300,0,0
2024/9/21,0:05,3281,0,0
2024/9/21,0:10,3250,0,0
2024/9/21,0:15,3223,0,0
2024/9/21,0:20,3200,0,0
2024/9/21,0:25,3189,0,0
2024/9/21,0:30,3153,0,0
2024/9/21,0:35,3127,0,0
2024/9/21,0:40,3109,0,0
2024/9/21,0:45,3079,0,0
2024/9/21,0:50,3056,0,0
2024/9/21,0:55,3030,0,0
2024/9/21,1:00,3013,0,0
2024/9/21,1:05,3004,0,0
2024/9/21,1:10,2986,0,0
2024/9/21,1:15,2975,0,0
2024/9/21,1:20,2976,0,0
2024/9/21,1:25,2945,0,0
2024/9/21,1:30,2942,0,0
2024/9/21,1:35,2930,0,0
2024/9/21,1:40,2909,0,0
2024/9/21,1:45,2899,0,0
2024/9/21,1:50,2886,0,0
2024/9/21,1:55,2878,0,0
2024/9/21,2:00,2856,0,0
2024/9/21,2:05,2840,0,0
2024/9/21,2:10,2837,0,0
2024/9/21,2:15,2818,0,0
2024/9/21,2:20,2806,0,0
2024/9/21,2:25,2801,0,0
2024/9/21,2:30,2816,0,0
2024/9/21,2:35,2816,0,0
2024/9/21,2:40,2817,0,0
2024/9/21,2:45,2810,0,0
2024/9/21,2:50,2796,0,0
2024/9/21,2:55,2797,0,0
2024/9/21,3:00,2787,0,0
2024/9/21,3:05,2792,0,0
2024/9/21,3:10,2779,0,0
2024/9/21,3:15,2774,0,0
2024/9/21,3:20,2783,0,0
2024/9/21,3:25,2785,0,0
2024/9/21,3:30,2770,0,0
2024/9/21,3:35,2764,0,0
2024/9/21,3:40,2751,0,0
2024/9/21,3:45,2770,0,0
2024/9/21,3:50,2766,0,0
2024/9/21,3:55,2764,0,0
2024/9/21,4:00,2753,0,0
2024/9/21,4:05,2773,0,0
2024/9/21,4:10,2767,0,0
2024/9/21,4:15,2757,0,0
2024/9/21,4:20,2764,0,0
2024/9/21,4:25,2765,0,0
2024/9/21,4:30,2758,0,0
2024/9/21,4:35,2751,0,0
2024/9/21,4:40,2763,0,0
2024/9/21,4:45,2761,0,0
2024/9/21,4:50,2770,0,0
2024/9/21,4:55,2771,0,0
2024/9/21,5:00,2768,0,0
2024/9/21,5:05,2779,0,0
2024/9/21,5:10,2770,0,0
2024/9/21,5:15,2775,0,0
2024/9/21,5:20,2770,0,0
2024/9/21,5:25,2775,0,0
2024/9/21,5:30,2766,0,0
2024/9/21,5:35,2759,0,0
2024/9/21,5:40,2765,1,0
2024/9/21,5:45,2748,4,0
2024/9/21,5:50,2761,7,0
2024/9/21,5:55,2756,11,0
2024/9/21,6:00,2763,15,0
2024/9/21,6:05,2762,29,1
2024/9/21,6:10,2781,38,1
2024/9/21,6:15,2798,47,1
2024/9/21,6:20,2802,55,1
2024/9/21,6:25,2802,61,2
2024/9/21,6:30,2822,69,2
2024/9/21,6:35,2851,77,2
2024/9/21,6:40,2861,84,2
2024/9/21,6:45,2867,92,3
2024/9/21,6:50,2881,100,3
2024/9/21,6:55,2891,108,3
2024/9/21,7:00,2910,115,3
2024/9/21,7:05,2975,121,4
2024/9/21,7:10,2983,129,4
2024/9/21,7:15,2992,138,4
2024/9/21,7:20,3019,148,4
2024/9/21,7:25,3047,159,5
2024/9/21,7:30,3071,171,5
2024/9/21,7:35,3128,180,5
2024/9/21,7:40,3122,189,6
2024/9/21,7:45,3161,198,6
2024/9/21,7:50,3166,208,6
2024/9/21,7:55,3208,217,6
2024/9/21,8:00,3226,225,6
2024/9/21,8:05,3286,233,7
2024/9/21,8:10,3306,246,7
2024/9/21,8:15,3339,255,7
2024/9/21,8:20,3345,265,7
2024/9/21,8:25,3387,279,8
2024/9/21,8:30,3420,294,8
2024/9/21,8:35,3466,309,8
2024/9/21,8:40,3495,322,9
2024/9/21,8:45,3544,342,9
2024/9/21,8:50,3585,362,10
2024/9/21,8:55,3603,374,10
2024/9/21,9:00,3650,388,10
2024/9/21,9:05,3711,404,10
2024/9/21,9:10,3731,411,11
2024/9/21,9:15,3736,413,11
2024/9/21,9:20,3757,413,10
2024/9/21,9:25,3768,418,11
2024/9/21,9:30,3793,419,11
2024/9/21,9:35,3818,417,10
2024/9/21,9:40,3811,420,11
2024/9/21,9:45,3834,423,11
2024/9/21,9:50,3868,419,10
2024/9/21,9:55,3867,417,10
2024/9/21,10:00,3883,415,10
2024/9/21,10:05,3882,418,10
2024/9/21,10:10,3866,414,10
2024/9/21,10:15,3891,414,10
2024/9/21,10:20,3878,415,10
2024/9/21,10:25,3899,421,10
2024/9/21,10:30,3900,426,10
2024/9/21,10:35,3907,428,10
2024/9/21,10:40,3903,429,10
2024/9/21,10:45,3890,426,10
2024/9/21,10:50,3878,424,10
2024/9/21,10:55,3876,424,10
2024/9/21,11:00,3864,419,10
2024/9/21,11:05,3872,415,10
2024/9/21,11:10,3863,414,10
2024/9/21,11:15,3845,414,10
2024/9/21,11:20,3849,418,10
2024/9/21,11:25,3859,428,11
2024/9/21,11:30,3860,433,11
2024/9/21,11:35,3893,440,11
2024/9/21,11:40,3897,446,11
2024/9/21,11:45,3874,446,11
2024/9/21,11:50,3900,450,11
2024/9/21,11:55,3895,458,11
2024/9/21,12:00,3904,462,11
2024/9/21,12:05,3912,470,12
2024/9/21,12:10,3898,477,12
2024/9/21,12:15,3895,489,12
2024/9/21,12:20,3893,498,12
2024/9/21,12:25,3915,499,12
2024/9/21,12:30,3937,500,12
2024/9/21,12:35,3949,501,12
2024/9/21,12:40,3941,495,12
2024/9/21,12:45,3942,484,12
2024/9/21,12:50,3930,472,12
2024/9/21,12:55,3928,458,11
2024/9/21,13:00,3909,442,11
2024/9/21,13:05,3921,431,10
2024/9/21,13:10,3918,420,10
2024/9/21,13:15,3937,404,10
2024/9/21,13:20,3903,392,10
2024/9/21,13:25,3893,384,9
2024/9/21,13:30,3889,372,9
2024/9/21,13:35,3883,360,9
2024/9/21,13:40,3869,351,9
2024/9/21,13:45,3870,345,8
2024/9/21,13:50,3858,344,8
2024/9/21,13:55,3861,343,8
2024/9/21,14:00,3864,337,8
2024/9/21,14:05,3854,330,8
2024/9/21,14:10,3845,323,8
2024/9/21,14:15,3828,315,8
2024/9/21,14:20,3818,307,8
