2015/6/16 10:54 UPDATE
DATE,TIME,実績(万kW)
2015/1/1,0:00,973
2015/1/1,1:00,974
2015/1/1,2:00,984
2015/1/1,3:00,996
2015/1/1,4:00,1000
2015/1/1,5:00,984
2015/1/1,6:00,943
2015/1/1,7:00,879
2015/1/1,8:00,915
2015/1/1,9:00,918
2015/1/1,10:00,895
2015/1/1,11:00,884
2015/1/1,12:00,872
2015/1/1,13:00,851
2015/1/1,14:00,848
2015/1/1,15:00,886
2015/1/1,16:00,938
2015/1/1,17:00,1004
2015/1/1,18:00,1012
2015/1/1,19:00,1004
2015/1/1,20:00,980
2015/1/1,21:00,965
2015/1/1,22:00,927
2015/1/1,23:00,954
2015/1/2,0:00,927
2015/1/2,1:00,946
2015/1/2,2:00,983
2015/1/2,3:00,1005
2015/1/2,4:00,999
2015/1/2,5:00,982
2015/1/2,6:00,962
2015/1/2,7:00,927
2015/1/2,8:00,966
2015/1/2,9:00,978
2015/1/2,10:00,973
2015/1/2,11:00,960
2015/1/2,12:00,931
2015/1/2,13:00,904
2015/1/2,14:00,892
2015/1/2,15:00,916
2015/1/2,16:00,977
2015/1/2,17:00,1047
2015/1/2,18:00,1058
2015/1/2,19:00,1046
2015/1/2,20:00,1024
2015/1/2,21:00,986
2015/1/2,22:00,938
2015/1/2,23:00,965
2015/1/3,0:00,952
2015/1/3,1:00,975
2015/1/3,2:00,1004
2015/1/3,3:00,1021
2015/1/3,4:00,1020
2015/1/3,5:00,1010
2015/1/3,6:00,979
2015/1/3,7:00,938
2015/1/3,8:00,992
2015/1/3,9:00,1003
2015/1/3,10:00,1003
2015/1/3,11:00,992
2015/1/3,12:00,965
2015/1/3,13:00,951
2015/1/3,14:00,935
2015/1/3,15:00,962
2015/1/3,16:00,1003
2015/1/3,17:00,1067
2015/1/3,18:00,1071
2015/1/3,19:00,1053
2015/1/3,20:00,1016
2015/1/3,21:00,979
2015/1/3,22:00,923
2015/1/3,23:00,946
2015/1/4,0:00,917
2015/1/4,1:00,944
2015/1/4,2:00,973
2015/1/4,3:00,987
2015/1/4,4:00,984
2015/1/4,5:00,970
2015/1/4,6:00,938
2015/1/4,7:00,904
2015/1/4,8:00,972
2015/1/4,9:00,1019
2015/1/4,10:00,1012
2015/1/4,11:00,999
2015/1/4,12:00,990
2015/1/4,13:00,963
2015/1/4,14:00,945
2015/1/4,15:00,959
2015/1/4,16:00,1021
2015/1/4,17:00,1085
2015/1/4,18:00,1095
2015/1/4,19:00,1076
2015/1/4,20:00,1048
2015/1/4,21:00,1000
2015/1/4,22:00,941
2015/1/4,23:00,941
2015/1/5,0:00,917
2015/1/5,1:00,946
2015/1/5,2:00,981
2015/1/5,3:00,1006
2015/1/5,4:00,1022
2015/1/5,5:00,1039
2015/1/5,6:00,1067
2015/1/5,7:00,1056
2015/1/5,8:00,1159
2015/1/5,9:00,1216
2015/1/5,10:00,1194
2015/1/5,11:00,1172
2015/1/5,12:00,1098
2015/1/5,13:00,1118
2015/1/5,14:00,1117
2015/1/5,15:00,1127
2015/1/5,16:00,1195
2015/1/5,17:00,1217
2015/1/5,18:00,1209
2015/1/5,19:00,1187
2015/1/5,20:00,1144
2015/1/5,21:00,1087
2015/1/5,22:00,1016
2015/1/5,23:00,1015
2015/1/6,0:00,979
2015/1/6,1:00,1004
2015/1/6,2:00,1040
2015/1/6,3:00,1059
2015/1/6,4:00,1068
2015/1/6,5:00,1082
2015/1/6,6:00,1099
2015/1/6,7:00,1085
2015/1/6,8:00,1174
2015/1/6,9:00,1232
2015/1/6,10:00,1229
2015/1/6,11:00,1220
2015/1/6,12:00,1148
2015/1/6,13:00,1166
2015/1/6,14:00,1159
2015/1/6,15:00,1169
2015/1/6,16:00,1216
2015/1/6,17:00,1218
2015/1/6,18:00,1199
2015/1/6,19:00,1176
2015/1/6,20:00,1136
2015/1/6,21:00,1105
2015/1/6,22:00,1073
2015/1/6,23:00,1089
2015/1/7,0:00,1062
2015/1/7,1:00,1094
2015/1/7,2:00,1136
2015/1/7,3:00,1157
2015/1/7,4:00,1162
2015/1/7,5:00,1179
2015/1/7,6:00,1218
2015/1/7,7:00,1196
2015/1/7,8:00,1290
2015/1/7,9:00,1339
2015/1/7,10:00,1329
2015/1/7,11:00,1328
2015/1/7,12:00,1242
2015/1/7,13:00,1285
2015/1/7,14:00,1274
2015/1/7,15:00,1294
2015/1/7,16:00,1330
2015/1/7,17:00,1356
2015/1/7,18:00,1330
2015/1/7,19:00,1277
2015/1/7,20:00,1228
2015/1/7,21:00,1175
2015/1/7,22:00,1125
2015/1/7,23:00,1137
2015/1/8,0:00,1102
2015/1/8,1:00,1122
2015/1/8,2:00,1157
2015/1/8,3:00,1175
2015/1/8,4:00,1178
2015/1/8,5:00,1190
2015/1/8,6:00,1216
2015/1/8,7:00,1181
2015/1/8,8:00,1262
2015/1/8,9:00,1294
2015/1/8,10:00,1268
2015/1/8,11:00,1246
2015/1/8,12:00,1176
2015/1/8,13:00,1222
2015/1/8,14:00,1223
2015/1/8,15:00,1238
2015/1/8,16:00,1279
2015/1/8,17:00,1313
2015/1/8,18:00,1296
2015/1/8,19:00,1248
2015/1/8,20:00,1199
2015/1/8,21:00,1149
2015/1/8,22:00,1103
2015/1/8,23:00,1108
2015/1/9,0:00,1073
2015/1/9,1:00,1095
2015/1/9,2:00,1126
2015/1/9,3:00,1149
2015/1/9,4:00,1156
2015/1/9,5:00,1165
2015/1/9,6:00,1203
2015/1/9,7:00,1173
2015/1/9,8:00,1237
2015/1/9,9:00,1265
2015/1/9,10:00,1241
2015/1/9,11:00,1232
2015/1/9,12:00,1157
2015/1/9,13:00,1200
2015/1/9,14:00,1199
2015/1/9,15:00,1214
2015/1/9,16:00,1261
2015/1/9,17:00,1292
2015/1/9,18:00,1261
2015/1/9,19:00,1214
2015/1/9,20:00,1162
2015/1/9,21:00,1122
2015/1/9,22:00,1084
2015/1/9,23:00,1097
2015/1/10,0:00,1063
2015/1/10,1:00,1086
2015/1/10,2:00,1124
2015/1/10,3:00,1134
2015/1/10,4:00,1133
2015/1/10,5:00,1131
2015/1/10,6:00,1118
2015/1/10,7:00,1090
2015/1/10,8:00,1168
2015/1/10,9:00,1199
2015/1/10,10:00,1178
2015/1/10,11:00,1167
2015/1/10,12:00,1122
2015/1/10,13:00,1115
2015/1/10,14:00,1102
2015/1/10,15:00,1123
2015/1/10,16:00,1169
2015/1/10,17:00,1221
2015/1/10,18:00,1209
2015/1/10,19:00,1177
2015/1/10,20:00,1134
2015/1/10,21:00,1089
2015/1/10,22:00,1043
2015/1/10,23:00,1063
2015/1/11,0:00,1034
2015/1/11,1:00,1059
2015/1/11,2:00,1087
2015/1/11,3:00,1102
2015/1/11,4:00,1099
2015/1/11,5:00,1079
2015/1/11,6:00,1056
2015/1/11,7:00,1011
2015/1/11,8:00,1045
2015/1/11,9:00,1053
2015/1/11,10:00,1028
2015/1/11,11:00,996
2015/1/11,12:00,980
2015/1/11,13:00,982
2015/1/11,14:00,981
2015/1/11,15:00,1031
2015/1/11,16:00,1087
2015/1/11,17:00,1166
2015/1/11,18:00,1173
2015/1/11,19:00,1171
2015/1/11,20:00,1133
2015/1/11,21:00,1089
2015/1/11,22:00,1030
2015/1/11,23:00,1043
2015/1/12,0:00,1010
2015/1/12,1:00,1041
2015/1/12,2:00,1086
2015/1/12,3:00,1106
2015/1/12,4:00,1111
2015/1/12,5:00,1107
2015/1/12,6:00,1096
2015/1/12,7:00,1063
2015/1/12,8:00,1124
2015/1/12,9:00,1163
2015/1/12,10:00,1142
2015/1/12,11:00,1113
2015/1/12,12:00,1068
2015/1/12,13:00,1069
2015/1/12,14:00,1056
2015/1/12,15:00,1080
2015/1/12,16:00,1147
2015/1/12,17:00,1221
2015/1/12,18:00,1220
2015/1/12,19:00,1195
2015/1/12,20:00,1151
2015/1/12,21:00,1109
2015/1/12,22:00,1036
2015/1/12,23:00,1039
2015/1/13,0:00,1009
2015/1/13,1:00,1046
2015/1/13,2:00,1078
2015/1/13,3:00,1098
2015/1/13,4:00,1103
2015/1/13,5:00,1115
2015/1/13,6:00,1148
2015/1/13,7:00,1128
2015/1/13,8:00,1205
2015/1/13,9:00,1241
2015/1/13,10:00,1212
2015/1/13,11:00,1186
2015/1/13,12:00,1103
2015/1/13,13:00,1138
2015/1/13,14:00,1144
2015/1/13,15:00,1152
2015/1/13,16:00,1211
2015/1/13,17:00,1251
2015/1/13,18:00,1231
2015/1/13,19:00,1181
2015/1/13,20:00,1130
2015/1/13,21:00,1081
2015/1/13,22:00,1047
2015/1/13,23:00,1049
2015/1/14,0:00,1017
2015/1/14,1:00,1051
2015/1/14,2:00,1090
2015/1/14,3:00,1114
2015/1/14,4:00,1120
2015/1/14,5:00,1143
2015/1/14,6:00,1178
2015/1/14,7:00,1142
2015/1/14,8:00,1180
2015/1/14,9:00,1191
2015/1/14,10:00,1150
2015/1/14,11:00,1131
2015/1/14,12:00,1062
2015/1/14,13:00,1113
2015/1/14,14:00,1124
